period,source_lane,status,update
2022-12-29..2022-12-31,foreign_government_intelligence,In progress,"Targeted incoming-government foreign diplomatic/intelligence warning material; no new distinct qualifying Lane 3 event crossed threshold."
2023-01,foreign_government_intelligence,In progress,"Rechecked Egypt/Jordan/US and other foreign-government escalation warnings; qualifying direct warnings already canonical, no new distinct event."
2023-02,foreign_government_intelligence,In progress,"Rechecked Aqaba-era US/Jordan/Egypt de-escalation material and direct warnings; no new distinct qualifying event."
2023-03,foreign_government_intelligence,In progress,"Rechecked Ramadan/West Bank/regional escalation warnings; existing canonical records control, no new threshold crossing."
2023-04,foreign_government_intelligence,In progress,"Rechecked Jordanian/foreign warnings around Al-Aqsa and regional escalation; no new distinct event."
2023-05,foreign_government_intelligence,In progress,"Rechecked foreign de-escalation/security warnings during Gaza and Jerusalem tensions; no new distinct qualifying event."
2023-06,foreign_government_intelligence,In progress,"Targeted foreign-government/intelligence searches found no new distinct qualifying warning beyond existing canonical material."
2023-07,foreign_government_intelligence,In progress,"Rechecked US/foreign security discussions and regional-partner warnings; no new distinct event with qualifying receipt evidence."
2023-08,foreign_government_intelligence,In progress,"Targeted regional-partner/foreign-intelligence searches found no new distinct qualifying warning beyond canonical records."
2023-09,foreign_government_intelligence,In progress,"WARN-142 materially upgraded with response evidence: N12 says Israeli officials challenged UAE security counterparts after the warned-through end of September passed without action, indicating the warning was evaluated and then discounted. N12 also says three senior Emirati sources with direct knowledge confirmed the disputed MBZ follow-up; WARN-5 remains Disputed because PMO/call-log and official UAE contrary evidence persist. Egyptian Foreign Ministry/NSC chain remains disputed."
2023-10-01..2023-10-06,foreign_government_intelligence,In progress,"Rechecked Egypt's reported ~4 Oct warning. McCaul confirms a warning was given but says recipient level was unknown; no new primary recipient evidence recovered."
pre-2022-12-29,older_inherited_warnings,In progress,"Older foreign-government warning chains rechecked; no new distinct older warning crossed threshold and no historical floor imposed."
ALL,freshness_document_upgrade,In progress,"Freshness pass upgraded WARN-142 and WARN-5 with N12/Times of Israel 22–23 Sep 2026 evidence. Accepted count unchanged at 142; no new primary document resolved the Egyptian or UAE disputes."
