period,source_lane,status,update
2022-12-29..2022-12-31,foreign_government_intelligence,In progress,"Rechecked incoming-government foreign-warning channels and transition-period diplomatic/security contacts; no new distinct warning requiring publication beyond existing canonical records."
2023-01,foreign_government_intelligence,In progress,"Re-audited Sisi, Jordan, UAE, U.S., EU and other Arab-state escalation warnings to the new government, including direct Temple Mount/security-deterioration warnings already represented in Notion. No new distinct January event crossed threshold."
2023-02,foreign_government_intelligence,In progress,"Rechecked foreign de-escalation/security warnings and direct government contacts; canonical records cover qualifying events and no new distinct February event crossed threshold."
2023-03,foreign_government_intelligence,In progress,"Targeted U.S., European, Jordanian, Egyptian and Gulf warnings on regional/Palestinian escalation; no new distinct March event with stronger receipt evidence required publication."
2023-04,foreign_government_intelligence,In progress,"Rechecked foreign warnings around Ramadan/Passover, Jerusalem and multi-front escalation; existing canonical Jordanian and other diplomatic warnings remain the strongest qualifying events. No new distinct April event crossed threshold."
2023-05,foreign_government_intelligence,In progress,"Re-audited Egyptian, U.S., European and regional de-escalation contacts during Gaza fighting; no new distinct May event with qualifying senior receipt was established."
2023-06,foreign_government_intelligence,In progress,"Rechecked foreign-government and diplomatic security contacts for West Bank/regional escalation. No new distinct June warning crossed threshold."
2023-07,foreign_government_intelligence,In progress,"Re-audited Jordanian, Egyptian, U.S. and regional warnings around Jenin/Temple Mount escalation and existing published entries; no new distinct July event crossed threshold."
2023-08,foreign_government_intelligence,In progress,"Rechecked U.S., European, Egyptian, Jordanian and Gulf contacts for Hamas/regional escalation; no new distinct August event with stronger documented receipt crossed threshold."
2023-09,foreign_government_intelligence,In progress,"New Accepted WARN-142: N12/Channel 12 reports, citing three senior Emirati sources with direct knowledge, that UAE intelligence warned Shin Bet in September 2023 Hamas could carry out a violent action by month-end. Ynet independently corroborates that the UAE passed Israel a very-reliable-source warning of significant/imminent Hamas action. Medium confidence / retrospective / moderately specific. WARN-5 leader-level call remains Disputed."
2023-10-01..2023-10-06,foreign_government_intelligence,In progress,"Freshness/unresolved-first recheck found no new primary recipient record for the reported Egyptian warning roughly three days before Oct. 7. EGYPT-OCT4 remains a strong candidate with recipient level unresolved; WARN-76 remains Accepted/Medium with exact date and recipient disputed."
pre-2022-12-29,older_inherited_warnings,In progress,"Backward-chain checks of older foreign-government/intelligence warning lines found no new distinct older event establishing current-government inherited/repeated receipt this run. No arbitrary historical floor applied."
