period,source_lane,status,update
2022-12-29..2022-12-31,primary_document_recovery,In progress,"Targeted documentary/historical sweep around the government transition; no new distinct warning or recipient record crossed threshold."
2023-01,primary_document_recovery,In progress,"Rechecked early-government strategic/security documentary chains against canonical Notion entries; no new January warning established."
2023-02,primary_document_recovery,In progress,"Targeted archival, correspondence and later-release searches; no new qualifying February warning or primary receipt record established."
2023-03,primary_document_recovery,In progress,"Revalidated the MI warning-letter chain. WARN-1 remains canonical; no new distinct March document crossed threshold."
2023-04,primary_document_recovery,In progress,"Rechecked April MI/Shin Bet/security-warning chains and later-released records; no new distinct documentary event established beyond canonical entries."
2023-05,primary_document_recovery,In progress,"Resolved stale FOIA placeholder state: the 31 May MI warning is already canonical WARN-46 / High with direct documented Netanyahu receipt. No duplicate created."
2023-06,primary_document_recovery,In progress,"Targeted newly exposed letter/protocol reporting and readiness-document recovery; existing Halevi/other June entries remain canonical and no new distinct warning crossed threshold."
2023-07,primary_document_recovery,In progress,"Resolved the Saar date reconciliation: 16 Jul WARN-2 and 23 Jul WARN-10 are distinct canonical warnings, not date variants. The best-supported four-document FOIA mapping is now 19 Mar, 31 May, 16 Jul and 23 Jul; full official texts/metadata remain a recovery gap."
2023-08,primary_document_recovery,In progress,"Rechecked later-released protocol/document chains and older-warning carryovers; no new distinct August event crossed threshold beyond existing canonical warnings."
2023-09,primary_document_recovery,In progress,"Rechecked Gida/Hayun, IAF-8200 sharing, Hamas exercise and foreign-warning documentary leads. Strong warning content exists in several chains, but no new qualifying named senior recipient/primary delivery record was recovered this run."
2023-10-01..2023-10-06,primary_document_recovery,In progress,"Rechecked the 4 Oct Gaza Division inspection and final-days Unit 8200/IDF documentary leads. Public evidence still does not establish pre-Oct-7 delivery of the relevant findings to a named qualifying senior recipient for the unresolved audit/sharing candidates."
pre-2022-12-29,older_inherited_warnings,In progress,"Historical blind-spot sweep rechecked the 2016 Liberman mass-invasion warning, State Comptroller/Gaza-border warning chains, 2019 funding/emergency-authority warnings and other older material against Notion. These are already represented where threshold was met; no new older distinct event crossed threshold this run."
ALL,freshness_document_upgrade,In progress,"Freshness pass reviewed 2026 document/protocol reporting and existing Accepted records. WARN-10's newly exposed 23 Jul document was already incorporated. Corrected WARN-2's Notion Evidence Date to the first identified post-event publication date (20 Nov 2023) rather than the database-entry creation date. No Accepted count change."
