candidate_id,period,status,warning_source,recipient,warning_summary,evidence_state,gaps,run_note
WARN-80,2020..2023-09,Accepted / Medium,Reichman University ICT / Boaz Ganor / Yitzhak Brik,"Benjamin Netanyahu; Yoav Gallant; Herzi Halevi; senior defense/security leadership","Multi-front-war preparedness research warned of severe readiness, air-defense, infrastructure and ground-force vulnerabilities, including southern defense against Hamas.","ICT's retrospective institutional release is now strengthened by a 12 Sep 2025 Jerusalem Post interview in which Ganor specified 43 meetings with top decision-makers and said the report/recommendations were sent to the prime minister and heads of all Israeli defense branches; Brik's contribution is described as warning infantry was unprepared to defend the South against Hamas.","No public contemporaneous distribution log, meeting minutes or recipient acknowledgment located; exact delivery dates remain incomplete.","Existing Accepted entry strengthened in Notion; confidence remains Medium because the new delivery detail is retrospective."
MILSTEIN-FEB23-2023-RAMADAN,2023-02-23,Investigating,Michael Milshtein / Reichman IPS,Named qualifying recipient unresolved,"Warned that Jerusalem/Ramadan escalation could spread to Gaza, the West Bank and inside Israel.","Primary contemporaneous Reichman/IPS publication.","No direct named-recipient or delivery record found.","Lane 4 rechecked; unchanged."
YADLIN-MAR23-2023-PERFECT-STORM,2023-03-23,Investigating,Amos Yadlin,Named qualifying recipient unresolved,"Warned of four explosive arenas and a possible simultaneous 'perfect storm' as IDF readiness and deterrence weakened amid domestic turmoil.","Contemporaneous N12 publication.","No evidence located that the warning was directly delivered to a qualifying senior decision-maker.","Lane 4 rechecked; unchanged."
INSS-MAR21-2023-STRATEGIC,2023-03-21,Investigating,Institute for National Security Studies,Named qualifying recipient unresolved,"Urgent strategic alert warned that the internal crisis was damaging IDF functioning/readiness, deterrence and strategic relationships and could endanger Israel's security.","Primary contemporaneous INSS publication plus contemporaneous independent coverage.","No direct named-recipient or distribution record found; public address to government is not proof of receipt.","Targeted recipient search found no upgrade."
AMIDROR-APR13-2023,2023-04-13,Investigating,Maj. Gen. (res.) Yaakov Amidror,Named qualifying recipient unresolved,"Warned that war was much closer than peace and Israel had to prepare for wider regional deterioration.","Contemporaneous interview remarks independently reported.","No evidence found that this specific warning was directly delivered to a qualifying serving decision-maker.","Lane 4 rechecked; unchanged."
JISS-APR16-2023,2023-04-16,Investigating,Jerusalem Institute for Strategy and Security,Named qualifying recipient unresolved,"Warned Israel should prepare for war and that internal rupture risked weakening military capability and deterrence.","Primary contemporaneous JISS position paper and contemporaneous reporting.","No named-recipient delivery record found; later institutional claims do not by themselves establish receipt.","Lane 4 rechecked; unchanged."
INSS-MAY15-2023-HAMAS-WINNER,2023-05-15,Discovery lead,INSS / Udi Dekel,Named qualifying recipient unresolved,"Warned that letting Hamas avoid responsibility for Gaza escalation allowed it to set rules and emerge strengthened after Operation Shield and Arrow.","Primary contemporaneous INSS analysis.","No evidence of direct delivery to a qualifying recipient; distinctness from broader canonical Hamas-strategy warnings remains to be assessed.","Retained as discovery lead; not published."
INSS-JUL23-2023-ALERT,2023-07-23,Investigating,Institute for National Security Studies,Named qualifying recipient unresolved,"Urgent alert warned the 'people's army' reserve model risked dissolution, weakening military capability and deterrence as danger of multi-arena conflict increased.","Primary contemporaneous INSS alert plus contemporaneous press coverage.","No direct named-recipient or distribution record found despite targeted search.","Unchanged; not Accepted."
IPS-JUL23-HAMAS-MULTIFRONT,2023-07,Investigating,Reichman IPS,Named qualifying recipient unresolved,"Analysis described Hamas as helping generate multi-front escalation while preserving relative quiet in Gaza.","Primary contemporaneous Reichman/IPS analysis.","No evidence located that the analysis was delivered to a qualifying named decision-maker before Oct. 7.","Lane 4 rechecked; unchanged."
CARMON-AUG31-2023,2023-08-31,Investigating,Yigal Carmon / MEMRI,Named qualifying recipient unresolved,"Warned of signs of possible war in September-October 2023 and escalation involving Hamas and Hezbollah that could widen regionally.","Contemporaneous MEMRI warning plus contemporaneous 5 Sep independent reporting.","No evidence located that it was delivered to a qualifying senior Israeli decision-maker before Oct. 7.","Lane 4 rechecked; unchanged."
REICHMAN-ICT-SEP10-12-2023,2023-09-10..2023-09-12,Research lead,Reichman University ICT / expert presenters,"Yoav Gallant; Tzachi Hanegbi; David Barnea and other senior officials attended","Official conference records establish expert and senior government/security co-presence at the counter-terrorism conference.","Official event/schedule evidence proves co-presence only.","No session-specific transcript or record located proving a qualifying warning was conveyed; do not infer receipt from attendance.","Retained as provenance lead; no warning event admitted."
