period,source_lane,status,update
2022-12-29..2022-12-31,local_emergency_civil,In progress,"Targeted local-authority, emergency-governance and community-security transition-period material; no new distinct warning with documented qualifying receipt crossed threshold."
2023-01,local_emergency_civil,In progress,"Rechecked Gaza-envelope and municipal protection material; the direct Ashkelon protection warning is already canonical. No additional January event established."
2023-02,local_emergency_civil,In progress,"Targeted local/community-security and emergency-readiness sources; no new distinct February event with qualifying recipient evidence established."
2023-03,local_emergency_civil,In progress,"Rechecked northern-border local-security context after the Megiddo infiltration and growing Hamas/Hezbollah presence; no new local-authority warning distinct from existing canonical records crossed threshold."
2023-04,local_emergency_civil,In progress,"Reviewed the 20 Apr Sderot cabinet/local-head meeting. Alon Davidi's demand for long-term quiet was directly delivered to Netanyahu but is too general to count as a distinct major-disaster/readiness warning. Existing rabashatz and Gaza-envelope chains remain canonical."
2023-05,local_emergency_civil,In progress,"Freshness pass rechecked WARN-130 against the official May 2026 State Comptroller rabashatz findings. The official material corroborates longstanding structural vulnerability but is already incorporated and does not establish a new pre-Oct. 7 event."
2023-06,local_emergency_civil,In progress,"Targeted northern shelter, emergency coordination and community-security sources; no new June event beyond existing canonical warning chains."
2023-07,local_emergency_civil,In progress,"Re-audited WARN-107: Upper Galilee local heads directly warned Northern Command on 14 Jul about growing Hezbollah border presence/provocations; existing Accepted / Medium entry remains correct and no duplicate was created."
2023-08,local_emergency_civil,In progress,"Targeted northern-border and Gaza-envelope local/emergency sources; no new distinct August warning with qualifying receipt evidence crossed threshold."
2023-09,local_emergency_civil,In progress,"GAZA-COUNCILS-SEP26-2023 remains Investigating. Contemporaneous N12 strongly establishes the warning content ('promenade' / 'will end in disaster') amid violent fence disturbances, but quoted local leaders and named senior recipient/delivery remain unresolved."
2023-10-01..2023-10-06,local_emergency_civil,In progress,"Targeted final-days local-authority, emergency and civil-security material; no new distinct Lane-5 warning with documented qualifying receipt crossed threshold."
pre-2022-12-29,older_inherited_warnings,In progress,"New older lead added: August 2019 western-Negev local heads reportedly wrote Netanyahu protesting weakening of NEMA and transfer of powers to Home Front Command; Tamir Idan separately said senior defense officials knew of operational dysfunction. Original letter/Radio Darom record and later inheritance/repetition evidence still need recovery, so no Accepted event was created."
