candidate_id,period,status,warning_source,recipient,warning_summary,evidence_state,gaps,run_note
MILSHTEIN-FEB23-2023,2023-02-23,Investigating,Dr. Michael Milshtein / Institute for Policy and Strategy (IPS) Reichman University,Named qualifying recipient unresolved,"Warned that Jerusalem/Ramadan tensions could trigger multi-front escalation across Jerusalem, the West Bank, Gaza and potentially inside Israel.","Primary contemporaneous Reichman/IPS Hebrew publication dated 23 Feb 2023 and English follow-up dated 8 Mar 2023 establish the warning content and operational recommendations.","No evidence found that this specific warning was directly delivered to or acknowledged by a named serving government/security decision-maker; public publication alone is insufficient.","Lane 4 primary-source upgrade; keep unresolved."
YADLIN-MAR23-2023,2023-03-23,Discovery lead / Investigating,Maj. Gen. (res.) Amos Yadlin / former Military Intelligence chief and senior security researcher,Benjamin Netanyahu addressed publicly; personal receipt unproven,"Warned of four explosive arenas and a possible simultaneous 'perfect storm' producing a major 2023 security failure, while saying IDF readiness and deterrence were already weakening.","Contemporaneous N12 op-ed under Yadlin's name explicitly addresses Netanyahu and describes Gaza, West Bank/Jerusalem, Lebanon and Iran/Syria risks. It is strong evidence of warning content but not of personal receipt.","Need evidence Netanyahu or another qualifying serving decision-maker actually received/acknowledged the warning; treat political criticism within the article separately from Yadlin's professional security assessment.","New Lane 4 discovery lead; not Accepted."
INSS-MAR21-2023-STRATEGIC,2023-03-21,Investigating,Institute for National Security Studies (INSS),Named qualifying recipient unresolved,"Urgent strategic alert warned the internal rupture would damage IDF functioning and operational capability, weaken deterrence/resilience and reduce Israel's ability to face enemies.","Primary contemporaneous INSS alert plus contemporaneous Times of Israel coverage rechecked. Targeted recipient searches again found no specific delivery/acknowledgment by a named qualifying decision-maker.","Need direct delivery/briefing record or named recipient acknowledgment before acceptance.","Lane 4 rechecked; unchanged."
AMIDROR-APR13-2023,2023-04-13,Investigating,Maj. Gen. (res.) Yaakov Amidror / former NSC chief and MI Research Division chief,Named qualifying recipient unresolved,"Warned that war was much closer than peace, Iran was increasingly confident and Israel needed to prepare for war.","Contemporaneous Radio 103FM remarks independently reported by Times of Israel and JNS/Israel Today establish the warning.","No evidence found that this specific warning was privately delivered to or acknowledged by a named serving decision-maker.","Lane 4 rechecked; unchanged."
JISS-APR16-2023,2023-04-16,Investigating,Jerusalem Institute for Strategy and Security (JISS),Government / political echelon claimed retrospectively; named recipient unresolved,"Warned Israel should prepare for war and that internal rupture was weakening military capability, deterrence and preparedness for a possible multi-front conflict.","Primary contemporaneous JISS position paper and contemporaneous Times of Israel reporting remain strong for warning content; JISS later said it had warned the government.","Need contemporaneous delivery email/cover letter, briefing record, named recipient acknowledgment or independent authoritative corroboration of government receipt.","Lane 4 rechecked; unchanged."
INSS-MAY15-2023-HAMAS-WINNER,2023-05-15,Discovery lead,INSS / Udi Dekel,Named qualifying recipient unresolved,"Warned that allowing Hamas to avoid responsibility for Gaza escalation enabled it to shape the rules and emerge stronger after Operation Shield and Arrow.","Primary contemporaneous INSS analysis remains available and relevant to the deterrence/conception chain.","No evidence of direct delivery to a qualifying recipient; assess distinctness from broader Hamas-deterrence warnings before promotion.","Lane 4 rechecked; no recipient upgrade."
REICHMAN-IPS-JUL2023-PA-ESCALATION,2023-07,Discovery lead / Investigating,Institute for Policy and Strategy (IPS) Reichman University led by Maj. Gen. (res.) Amos Gilead,Named qualifying recipient unresolved,"Warned that West Bank developments had become a key national-security threat, that government policy was accelerating PA weakening and Hamas/Iran entrenchment, and that Hamas was generating multi-front escalation while maintaining quiet in Gaza.","Primary contemporaneous Reichman/IPS July 2023 publication explicitly describes Hamas as a generator of multi-front escalation and notes security-force diversion effects.","No evidence found that this specific publication/briefing reached a named qualifying serving decision-maker; do not infer receipt from IPS's general decision-maker mission.","New Lane 4 discovery lead; not Accepted."
INSS-JUL23-2023-ALERT,2023-07-23,Investigating,Institute for National Security Studies (INSS),Named qualifying recipient unresolved,"Urgent alert warned the people's-army reserve model risked dissolution, weakening military capability and regional deterrence amid escalating threats on multiple fronts.","Primary contemporaneous INSS publication rechecked; warning content is strong.","No direct named-recipient or delivery record found for this specific alert.","Lane 4 rechecked; unchanged."
CARMON-AUG31-2023,2023-08-31,Investigating — evidence strengthened,Yigal Carmon / MEMRI,Named qualifying recipient unresolved,"Warned of signs of possible war in September-October 2023, including Hamas/Hezbollah/PIJ escalation and potential use of unusually deadly weapons leading to all-out war.","Primary contemporaneous MEMRI warning is independently corroborated by a 5 Sep 2023 Iran International article that quoted Carmon's assessment before Oct. 7. That same article records a contemporaneous contrary assessment from Brig. Gen. (res.) Amir Avivi, who agreed tensions existed but judged neither Hamas nor Hezbollah wanted full-scale war and said the IDF was ready.","No evidence located that Carmon's warning was delivered to a named qualifying senior Israeli decision-maker before Oct. 7. Preserve the contemporaneous disagreement; do not retrospectively treat the forecast as a precise prediction of the Hamas invasion.","Strengthened on contemporaneous corroboration and contrary assessment; still below receipt threshold."
REICHMAN-ICT-SEP10-12-2023,2023-09-10..2023-09-12,Research lead,Reichman University International Institute for Counter-Terrorism (ICT),Yoav Gallant; Tzachi Hanegbi; David Barnea and other senior officials attended the conference,"Potential expert-warning provenance at the ICT counter-terrorism conference immediately before Oct. 7.","Official event/schedule evidence establishes expert and senior decision-maker co-presence only; no session-specific qualifying warning transcript recovered.","Need transcript/video or independent evidence that a qualifying pre-Oct.7 warning was actually conveyed to a named recipient; never infer receipt merely from conference attendance.","Lane 4 rechecked; unchanged provenance lead."
