period,source_lane,status,update
2022-12-29..2022-12-31,other_israeli_security,In progress,"Targeted Shin Bet/Mossad/NSC/police/Home Front transition-period search; no new distinct qualifying warning crossed threshold."
2023-01,other_israeli_security,In progress,"Targeted institutional warning/readiness search; no new distinct January event established beyond existing canonical material."
2023-02,other_israeli_security,In progress,"Re-audited Shin Bet/police escalation warnings; BAR-FEB15 and other qualifying events are already canonical; no new event."
2023-03,other_israeli_security,In progress,"Re-audited Shin Bet/Mossad/NSC strategic-warning chains. A reported 19 Mar attempt by Bar, Barnea and Halevi to secure a joint warning meeting with Netanyahu is context only because delivery of warning content through that attempted meeting is not shown; same-day MI warning is separately canonical."
2023-04,other_israeli_security,In progress,"BAR-APR23 gained organizational/contextual corroboration from the Shin Bet's published 2025 internal inquiry describing several 2023 warnings on adversary attack motivation/deterrence erosion. Exact April date/forum/recipient remains uncorroborated, so candidate stays Investigating."
2023-05,other_israeli_security,In progress,"Rechecked Shin Bet Gaza/Hamas campaign assessments; WARN-16 already captures the qualifying May warning and its PMO dispute. No new distinct event."
2023-06,other_israeli_security,In progress,"Rechecked Shin Bet resource-diversion and police capacity/readiness records; qualifying WARN-37, WARN-7 and WARN-108 chains are already canonical. No new distinct June event."
2023-07,other_israeli_security,In progress,"Rechecked Bar strategic war warning and adjacent Gaza-directed-terror recommendations. Existing canonical July events cover qualifying warnings; no new independently documented event split out."
2023-08,other_israeli_security,In progress,"BAR-AUG22 preemptive-Gaza-strike candidate rechecked; still lacks public minutes/transcript or independent exact corroboration. WARN-84/other accepted August chains remain canonical."
2023-09,other_israeli_security,In progress,"WARN-99 Barnea/Qatari-funding warning source audit confirmed the Notion entry already incorporates the Sep 18 2026 document/testimony investigation and PMO denial. Mid-Sep Shin Bet multifront chain remains deduped into WARN-15."
2023-10-01..2023-10-06,other_israeli_security,In progress,"WARN-68 Oct 1 dispute already carries the recent security-source corroboration and Netanyahu's partial recipient-side excerpts. No new distinct Lane-2 event established; Oct 7 early-hours material excluded by temporal rule."
pre-2022-12-29,older_inherited_warnings,In progress,"Older Shin Bet/Mossad/Qatari-funding chains re-audited. Existing canonical entries already cover Argaman, MI, Egyptian and Shin Bet funding warnings plus 2022 Bennett preventive-action warning; no duplicate older event created."
ALL,other_israeli_security,In progress,"No month promoted to Complete. Main gaps remain exact April 2023 Shin Bet briefing metadata/recipient evidence, 22 Aug meeting documentation, primary Mossad/cabinet records for late-Sep Barnea warning, and primary resolution of disputed foreign-warning chains handled in Lane 3."
