period,source_lane,status,update
2022-12-29..2022-12-31,documentary_recovery_historical_blind_spots,In progress,"Targeted primary-document and later-release sweep; no new distinct accepted warning crossed threshold."
2023-01,documentary_recovery_historical_blind_spots,In progress,"CPR/Mamad January assessment chain strengthened retrospectively: former heads say products warned 2023 could become a confrontation year and were broadly distributed; original paper/distribution metadata still missing."
2023-02,documentary_recovery_historical_blind_spots,In progress,"Rechecked CPR 'gray rhino' and security-establishment documentary leads; no new event accepted without primary delivery evidence."
2023-03,documentary_recovery_historical_blind_spots,In progress,"Rechecked Saar/Gallant/Bar and CPR documentary chains; existing accepted warnings remain controlling and CPR March content lacks primary recipient documentation."
2023-04,documentary_recovery_historical_blind_spots,In progress,"Targeted Knesset/official/MI document recovery; known accepted April warning chains remain represented; no duplicate created."
2023-05,documentary_recovery_historical_blind_spots,In progress,"Rechecked known Jericho Wall, MI, Shin Bet and Southern Command documentary chains; no new distinct accepted event."
2023-06,documentary_recovery_historical_blind_spots,In progress,"Targeted documentary recovery across readiness/security warnings; no new distinct accepted event."
2023-07,documentary_recovery_historical_blind_spots,In progress,"Rechecked MI/Saar warning-document chronology and unresolved local/resilience records; no additional primary document sufficient for a new event recovered."
2023-08,documentary_recovery_historical_blind_spots,In progress,"Rechecked known Gaza invasion/readiness, expert and command-warning records; no new distinct accepted event."
2023-09,documentary_recovery_historical_blind_spots,In progress,"CPR September annual assessment and 19 Sep border-restiveness warning materially strengthened as an unresolved chain; Mossad 21 Sep memorandum already represented by WARN-145, so no duplicate created."
2023-10-01..2023-10-06,documentary_recovery_historical_blind_spots,In progress,"Saar 6 Oct unsent warning remains unresolved: retrospective reporting says it reached Haliva/Halevi and was approved for forwarding but was not sent to Netanyahu/cabinet before the attack. A separate night-6-Oct warning concerned another significant event rather than the mass invasion and was not promoted."
pre-2022-12-29,older_inherited_warnings,In progress,"Recovered primary 19 Apr 2017 Knesset testimony in which Netanyahu personally described a materially similar Hamas combined mass-raid concept: rockets, naval raids, paragliders, tunnels/special forces, killings/abductions in communities and bases. Added to WARN-87 as knowledge corroboration, not proof it derived from Liberman's 21 Dec 2016 memorandum."
ALL,freshness_document_upgrade,In progress,"Rechecked newly published 2026 document-based reporting. The Mossad 21 Sep 2023 warning/recommendation and MI 5 Aug 2020 diversion/receipt evidence were already incorporated into WARN-145 and WARN-32; no additional status change."
ALL,dedupe_source_quality,In progress,"No new Accepted warning this run. Primary 2017 Knesset transcript was attached to existing WARN-87; CPR and Saar Oct-6 leads remain unresolved. No month promoted to Complete."
