period,source_lane,status,update
2022-12-29..2022-12-31,experts_research,In progress,"Targeted transition-period expert/research records; no new distinct qualifying warning with documented receipt established."
2023-01,experts_research,In progress,"Re-audited expert/research warnings. Existing Accepted INSS strategic-assessment presentation to President Herzog remains the principal direct-recipient research event; no new distinct warning crossed threshold."
2023-02,experts_research,In progress,"New lead: 7 Feb petition by 240+ academics explicitly warned that the judicial initiative threatened national security and Israel's defensive capacity; named Israeli recipient/delivery remains unproven. New IPS 9 Feb strategic-warning lead likewise lacks named receipt."
2023-03,experts_research,In progress,"Amos Yadlin's 23 Mar 'perfect storm' warning materially strengthened as a candidate: contemporaneous N12 text explicitly named Gaza among multiple explosive arenas and warned of weakened readiness/deterrence; post-event Yadlin testimony says Netanyahu received warnings from independent writers like him, but independent receipt evidence for this specific warning is still absent. INSS 21 Mar alert rechecked; no named delivery record."
2023-04,experts_research,In progress,"Amidror 13 Apr and JISS 16 Apr war warnings re-audited. Strong contemporaneous content remains, but no direct named-recipient delivery evidence recovered."
2023-05,experts_research,In progress,"Rechecked INSS 15 May Hamas-strengthening analysis and Herzliya Conference expert/government participation. No new distinct warning with documented receipt; co-presence is not receipt."
2023-06,experts_research,In progress,"Reichman IPS 26 Jun warned that government Palestinian policy was accelerating PA decay and Iranian/Hamas entrenchment in the West Bank. Primary content is preserved, but no named-recipient delivery record established; no acceptance."
2023-07,experts_research,In progress,"INSS 23 Jul urgent reserve/readiness alert and Reichman research outputs rechecked. No direct named-recipient evidence recovered beyond already-canonical professional/security warnings."
2023-08,experts_research,In progress,"Carmon 31 Aug specific Sep-Oct war-risk warning rechecked; prediction/content is well established, but no proof of pre-Oct. 7 delivery to a qualifying Israeli decision-maker. Eiland's 16 Aug direct warning remains already Accepted and was not duplicated."
2023-09,experts_research,In progress,"Reichman/ICT 10-12 Sep conference attendance confirms co-presence of senior officials and experts but not delivery of a distinct warning; WARN-80 already represents the separately evidenced multi-front preparedness report. IPS 27 Sep public strategic warning lacks named delivery evidence."
2023-10-01..2023-10-06,experts_research,In progress,"Targeted final-days expert/research searches found no new distinct warning event with documented receipt."
pre-2022-12-29,older_inherited_warnings,In progress,"Older expert/research chains followed where relevant. WARN-80 already captures the multi-year Reichman/ICT preparedness project and its later documented distribution; no distinct older warning event newly established this run."
ALL,experts_research,In progress,"No month promoted to Complete. Principal Lane-4 gaps remain recipient/delivery evidence for public expert warnings (Yadlin, INSS, JISS, Amidror, Carmon and academic petitions), plus session-specific proof for conference-based leads."
