period,source_lane,status,update
2022-12-29..2022-12-31,primary_document_recovery,In progress,"Targeted transition-period document/protocol searches; no new distinct warning or named-recipient primary record crossed threshold."
2023-01,primary_document_recovery,In progress,"Rechecked early-government documentary chains and later-released evidence; no new January event or receipt record crossed threshold."
2023-02,primary_document_recovery,In progress,"Targeted archival, committee, correspondence and later-release searches; no new qualifying February warning or primary receipt record established."
2023-03,primary_document_recovery,In progress,"Rechecked MI warning-document chain and Gallant/security-readiness documentary leads; no new primary release changed status."
2023-04,primary_document_recovery,In progress,"Rechecked MI-APR12 and Shin Bet/security-warning chains; no new underlying memo, delivery record or distinct documentary event established."
2023-05,primary_document_recovery,In progress,"Rechecked MI and Gaza-envelope readiness document chains. WARN-130 remains canonical for the rabashatz/Gallant warning; no new distinct May event crossed threshold."
2023-06,primary_document_recovery,In progress,"Rechecked readiness and IAF-8200 intelligence-sharing documentary leads; exact dates, distribution and meeting records remain unrecovered."
2023-07,primary_document_recovery,In progress,"Rechecked Amit Saar/four-document MI chain; canonical 19 Mar, 31 May, 16 Jul and 23 Jul events remain controlling. Full uncensored texts/metadata remain a recovery gap."
2023-08,primary_document_recovery,In progress,"Targeted later-released meeting/document chains; no new distinct August event crossed threshold."
2023-09,primary_document_recovery,In progress,"Rechecked Hamas/Gaza warning, surveillance, Jericho Wall and foreign-warning documentary chains; no new distinct event or recipient record crossed threshold."
2023-10-01..2023-10-06,primary_document_recovery,In progress,"Rechecked Oct 3–6 exercise, Gaza Division inspection, surveillance and intelligence-sharing leads. Primary records and/or qualifying pre-Oct-7 senior receipt remain unresolved."
pre-2022-12-29,older_inherited_warnings,In progress,"Material documentary upgrade: recovered Open Knesset verbatim reproduction of Knesset FADC Protocol 71 (11 Jan 2022) plus official Knesset TV video. Omri Gilboa documented standby-squad cuts including Gaza envelope, called the situation catastrophic, warned some military response could take about an hour, and described reduced training/readiness. Added to WARN-130 only as older-chain corroboration because the hearing predates the current government. No separate Accepted event created."
ALL,freshness_document_upgrade,In progress,"Freshness pass found no status-changing new evidence. The 22 Sep 2026 UAE reporting was already incorporated in WARN-142/WARN-5; no duplicate or confidence/status change. No month promoted to Complete."
