period,source_lane,status,update
2022-12-29..2022-12-31,local_emergency_civil,In progress,"Targeted local-authority, emergency-governance and community-security material; no new distinct receipt-backed event established."
2023-01,local_emergency_civil,In progress,"Rechecked Gaza-envelope/local protection and emergency-preparedness material; no additional January event with qualifying recipient evidence established beyond canonical records."
2023-02,local_emergency_civil,In progress,"Targeted local/community-security and emergency-readiness sources; no new distinct February event with qualifying receipt evidence established."
2023-03,local_emergency_civil,In progress,"Rechecked local-security/protection chains; existing accepted records remain controlling; no new distinct March event crossed threshold."
2023-04,local_emergency_civil,In progress,"Reconfirmed the 20 Apr Sderot government meeting: Davidi directly demanded long-term security from Netanyahu, but public reporting does not establish that he delivered the later 3 May 'pay a price in summer' forecast in that meeting. No new distinct Accepted event."
2023-05,local_emergency_civil,In progress,"Davidi warning chain rechecked. 2 May public call for a broad Gaza operation plus 3 May sharper forecast are contemporaneously documented, but named direct receipt of the 3 May warning remains unresolved. WARN-130 remains canonical for the separate rabashatz/Gallant warning chain."
2023-06,local_emergency_civil,In progress,"Targeted northern-border, emergency coordination and community-security sources; no new June event with qualifying receipt crossed threshold."
2023-07,local_emergency_civil,In progress,"Rechecked northern-border local-authority/community-security material; existing accepted warnings remain controlling; no new July event established."
2023-08,local_emergency_civil,In progress,"Targeted northern-border, Gaza-envelope and emergency/civil-security sources; no new distinct August warning with qualifying receipt crossed threshold."
2023-09,local_emergency_civil,In progress,"Exact-phrase searching reconfirmed N12's 26 Sep warning from unnamed Gaza-envelope council heads that fence access felt 'like a promenade' and could end in disaster. Speaker identities and a named qualifying recipient remain unresolved; WARN-97 separately covers Yarkoni→Gaza Division commander."
2023-10-01..2023-10-06,local_emergency_civil,In progress,"Targeted final-days local-authority, emergency and civil-security material; no new distinct Lane-5 warning with documented qualifying receipt crossed threshold."
pre-2022-12-29,older_inherited_warnings,In progress,"Added Jan 2022 professional alert-squad warning chain as corroboration to WARN-130: rabashatz Omri Gilboa warned senior IDF/NSC representatives that squad cuts, training gaps and up-to-about-hour response times could leave communities unable to handle infiltration. Original Knesset transcript remains a recovery gap; no separate Accepted event created."
ALL,freshness_document_upgrade,In progress,"Rechecked recent Egypt/Army Radio warning reporting; the evidence is already incorporated in WARN-8 and did not change status/confidence. WARN-130 was upgraded with Jan 2022 older-chain professional evidence. No new primary record changed another Accepted warning's status."
