period,source_lane,status,update
2022-12-29..2022-12-31,local_emergency_civil,In progress,"Targeted local-authority, emergency-governance and community-security material; no new distinct warning with documented qualifying receipt crossed threshold."
2023-01,local_emergency_civil,In progress,"Rechecked Gaza-envelope/local protection and emergency-preparedness material; no additional January event with qualifying recipient evidence established beyond canonical records."
2023-02,local_emergency_civil,In progress,"Targeted local/community-security and emergency-readiness sources; no new distinct February event with qualifying recipient evidence established."
2023-03,local_emergency_civil,In progress,"Rechecked northern-border local-security/protection warning chains. WARN-64 already incorporates the direct Gallant/Smotrich warning and later PMO/Home Front receipt upgrades; no new distinct March event crossed threshold."
2023-04,local_emergency_civil,In progress,"Reviewed 9 Apr Netanyahu call with northern/southern local leaders and 20 Apr Sderot cabinet/local-head meeting. The 9 Apr record confirms urgent local protection requests reached the PMO; the 20 Apr record confirms Davidi met Netanyahu and demanded long-term security, but neither public record by itself establishes a distinct sufficiently specific disaster warning beyond existing canonical chains. Davidi's 3 May account is tracked separately as a candidate because it says he had raised the Gaza-policy concern with Netanyahu about two weeks earlier."
2023-05,local_emergency_civil,In progress,"New candidate DAVIDI-MAY03-2023 added: contemporaneous N12/Ynet record Davidi warning that the government's Hamas/PIJ immunity policy was weak and Israel would 'pay a price for it in the summer.' Walla contemporaneously reports that Davidi said he had raised the broader policy concern directly with Netanyahu about two weeks earlier. Exact receipt of the 3 May warning remains unresolved, so no Accepted event was created. Existing WARN-130 rabashatz warning remains canonical."
2023-06,local_emergency_civil,In progress,"Targeted northern shelter, emergency coordination and community-security sources; no new June event beyond existing canonical warning chains."
2023-07,local_emergency_civil,In progress,"Rechecked northern-border local-authority warning material; WARN-107 remains the canonical accepted 14 Jul warning to Northern Command. No new distinct July event established."
2023-08,local_emergency_civil,In progress,"Targeted northern-border, Gaza-envelope and emergency/civil-security sources; no new distinct August warning with qualifying receipt evidence crossed threshold."
2023-09,local_emergency_civil,In progress,"GAZA-COUNCILS-SEP26-2023 remains Investigating after exact-phrase/attribution searches. N12 strongly establishes the warning content but quoted local leaders and named senior recipient remain unresolved. WARN-97 separately covers Yarkoni's direct warning to Gaza Division commander and was not conflated with the anonymous plural quotation."
2023-10-01..2023-10-06,local_emergency_civil,In progress,"Targeted final-days local-authority, emergency and civil-security material; no new distinct Lane-5 warning with documented qualifying receipt crossed threshold."
pre-2022-12-29,older_inherited_warnings,In progress,"Rechecked the older local/emergency lane, including the already tracked 2019 western-Negev NEMA warning and older Gaza-border/tunnel/community-defense chains. No new older candidate crossed threshold in this run; original NEMA letter/Radio Darom record remains a recovery gap."
ALL,freshness_document_upgrade,In progress,"Checked recent official/retrospective home-front, rabashatz and local-security material. No new primary record or authoritative finding changed an Accepted warning's status/confidence in this run; Notion therefore remained unchanged."
