period,source_lane,status,update
2022-12-29..2022-12-31,foreign_government_intelligence,In progress,"Rechecked foreign-government and diplomatic transition-period records; no new distinct warning with qualifying recipient evidence crossed threshold."
2023-01,foreign_government_intelligence,In progress,"Re-audited direct foreign warnings and de-escalation contacts already canonical, including Egyptian, Jordanian, U.S. and European channels; no new distinct January event established."
2023-02,foreign_government_intelligence,In progress,"Targeted Arab-government, U.S. and European warnings around Jerusalem/West Bank escalation and regional deterioration; existing canonical events remain strongest and no new distinct February event crossed threshold."
2023-03,foreign_government_intelligence,In progress,"Rechecked Jordanian, UAE, U.S. and European diplomatic warnings around Ramadan and regional escalation; qualifying events are already canonical and no duplicate was created."
2023-04,foreign_government_intelligence,In progress,"Rechecked formal Jordanian Al-Aqsa escalation warnings and other foreign de-escalation contacts; existing canonical entries cover qualifying events."
2023-05,foreign_government_intelligence,In progress,"Re-audited foreign contacts during Gaza fighting and broader escalation warnings; existing U.S./European entries remain canonical, with no new distinct recipient-documented event established."
2023-06,foreign_government_intelligence,In progress,"Targeted U.S., European and regional-government contacts and warning records; no new distinct qualifying June event crossed threshold."
2023-07,foreign_government_intelligence,In progress,"Rechecked U.S. and regional warnings concerning Palestinian escalation, Hezbollah and regional instability; no new distinct July warning with stronger recipient evidence was established."
2023-08,foreign_government_intelligence,In progress,"Targeted Saudi, Jordanian, Egyptian, UAE, Qatari, Palestinian Authority, Moroccan, Bahraini, U.S. and European channels; no new distinct August warning to a named qualifying Israeli recipient crossed threshold."
2023-09,foreign_government_intelligence,In progress,"WARN-5 received a distribution-evidence upgrade: Halevi and Bar reportedly told Haaretz they were not informed of the alleged MBZ warning; because the call itself remains disputed, this is conditional evidence and Status remains Disputed / Medium. Added an unresolved CNN-sourced Arab-government lead reporting repeated warnings to U.S. and Israeli officials that Palestinian anger was reaching a dangerous pitch; country, dates and Israeli recipients remain unidentified. U.S. 28 Sep / CIA 5 Oct assessments remain non-qualifying because sharing with Israel is explicitly unproven."
2023-10-01..2023-10-06,foreign_government_intelligence,In progress,"Re-audited the reported Egyptian warning roughly three days before Oct. 7 and U.S. intelligence reporting from 5-6 Oct. No new primary record identifies the Egyptian recipient; the U.S. assessments cannot be treated as Israeli-recipient warnings without dissemination evidence. WARN-112 Jordan remains canonical."
pre-2022-12-29,older_inherited_warnings,In progress,"Followed the anonymous Arab-government repeated-warning lead backward because CNN described repeated warnings but did not identify dates, country or recipients. Existing older foreign warnings, including WARN-124's 2018 Egyptian Hamas-financing warning, remain canonical. No new older event crossed threshold."
