run_utc,candidate_id,period,status,progress,gaps
2026-09-15T151038Z,C14-2024-0219-RIKLIN-ATLANTIC-INVESTIGATION,2024-02-19,New historical candidate / exact first-party container missing,"N12's maintained misinformation review says Shimon Riklin presented on Channel 14 a supposedly same-day 'hair-raising' investigation by The Atlantic alleging severe Israeli security failures. N12 reports that a direct search of The Atlantic found no such investigation and that the claim had circulated on WhatsApp/X beforehand; it embeds a Bodkim secondary capture of Riklin's report. Claim origin is presenter Shimon Riklin, not a guest. No exact original Channel 14 broadcast/page container was recovered in this run, so no verdict is entered yet.","Recover the original Channel 14 segment/container and preserve Riklin's exact wording; independently archive/search The Atlantic's contemporaneous output before any False/Unsupported verdict. Do not rely solely on social counter-evidence."
2026-09-15T151038Z,C14-2026-0831-SARA-NETANYAHU-YAIR-GOLAN-TIMELINE,2026-08-31,Resolved / existing canonical C14-2026-0005,"Canonical Sheet already records the guest/interviewee claim as False / Verified / High with the verdict limited to chronology, preserving Sara Netanyahu's later qualification and lawyer's defense.","Resolved; do not duplicate or misattribute guest speech to Channel 14 editorial speech."
2026-09-15T151038Z,C14-2026-0803-BLUTH-DISMISSAL,2026-08-03,Resolved canonical / preview repair still blocked,"Canonical Sheet already records the initial dismissal framing as Misleading / Verified / High and preserves Channel 14's correction. Exact first-party Channel 14 still C14MED-2026-0012 remains in manifest, but direct GitHub post-write verification of channel14-factcheck/previews/C14MED-2026-0012.jpg returned 404 this run, so the stable preview has not materialized and Sheet/Notion preview fields remain deliberately untouched.","Generate and verify the exact-media GitHub preview, then update Sheet and Notion preview URLs in that order; do not substitute generic imagery."
2026-09-15T151038Z,C14-2024-1025-BROTHERS-IN-ARMS,2024-10-25,Unresolved / court-mapped,"Current page is corrected and court material maps the publication; pre-correction first-party state remains missing.","Recover exact pre-correction media/page and precise origin."
2026-09-15T151038Z,C14-2024-1031-BROTHERS-IN-ARMS,2024-10-31,Unresolved / court-mapped,"Current page is corrected and court material maps the publication; pre-correction first-party state remains missing.","Recover exact pre-correction media/page and precise origin."
2026-09-15T151038Z,C14-2024-1103-BROTHERS-IN-ARMS,2024-11-03,Unresolved / court-mapped,"Current page is corrected and court material maps the publication; pre-correction first-party state remains missing.","Recover exact pre-correction media/page and precise origin."
2026-09-15T151038Z,C14-2024-0916-ALMOG-COHEN-BROTHERS-IN-ARMS,2024-09-16,Unresolved / external claim repeated,"Channel 14 first-party page preserves Almog Cohen's allegation; secondary reporting says later testimony described hearsay/lack of proof.","Primary court transcript/finding needed; do not attribute guest/external claim to Channel 14 editorial speech."
2026-09-15T151038Z,MAR26-BARDUGO-800-MPCID-SUSPENSIONS,2026-03,Unresolved,"Counter-evidence/provenance exists; full first-party Channel 14 wording/container remains missing.","Recover full first-party broadcast and preferably direct MAG/prosecution documentation."
2026-09-15T151038Z,OHAD-SEGEV-CHYRON,2023-12,Unresolved / exact secondary frame preserved,"Walla preserves exact chyron frame; original Channel 14 broadcast date/container remains missing.","Recover original Channel 14 broadcast; origin is graphic/chyron."
2026-09-15T151038Z,C14-2026-0712-ASHDOD-HAREDI-ARREST-FRAMING,2026-07-12,Unresolved,"Police rebuttal/clarification is preserved via ICE; exact Channel 14 segment remains missing.","Recover exact Channel 14 wording/container; no verdict yet."
2026-09-15T151038Z,C14-2023-1206-JENIN-OLD-FOOTAGE,2023-12-06,Unresolved / historical,"ICE/Bodkim reporting says at least part of the Jenin montage was older N12 footage. Focused searches again did not recover the exact Channel 14 Patriots segment plus matched older N12 container.","Recover both exact containers and determine whether all or only part was old before verdict."
2026-09-15T151038Z,C14-2026-0818-KARIV-LANGUAGE,2026-08-18,Resolved / existing canonical C14-2026-0009,"Verified/High canonical remains correct.","Resolved; do not duplicate."
2026-09-15T151038Z,C14-2026-0816-TOMER-YERUSHALMI-MISID,2026-08-16,Resolved / existing canonical C14-2026-0001,"Verified/High canonical remains correct.","Resolved; do not duplicate."
