run_utc,candidate_id,period,status,progress,gaps
2026-09-15T120732Z,C14-2026-0831-SARA-NETANYAHU-YAIR-GOLAN-TIMELINE,2026-08-31,High-priority candidate / external interviewee / first-party container missing,"Secondary sources preserve Sara Netanyahu's Channel 14 interview wording; N12/eyewitness reporting and the PMO timeline materially challenge the timing implication. A fresh search surfaced additional confirmation that the interview aired on Channel 14 on Aug. 31 but still no exact first-party Channel 14 container.","Recover exact first-party interview/broadcast before verdict; keep origin external interviewee and verdict limited to timing."
2026-09-15T120732Z,C14-2024-1025-BROTHERS-IN-ARMS,2024-10-25,Unresolved / court-mapped,"Current page is corrected and court material maps the publication; pre-correction first-party state remains missing.","Recover exact pre-correction media/page and precise origin."
2026-09-15T120732Z,C14-2024-1031-BROTHERS-IN-ARMS,2024-10-31,Unresolved / court-mapped,"Current page is corrected and court material maps the publication; pre-correction first-party state remains missing.","Recover exact pre-correction media/page and precise origin."
2026-09-15T120732Z,C14-2024-1103-BROTHERS-IN-ARMS,2024-11-03,Unresolved / court-mapped,"Current page is corrected and court material maps the publication; pre-correction first-party state remains missing.","Recover exact pre-correction media/page and precise origin."
2026-09-15T120732Z,C14-2024-0916-ALMOG-COHEN-BROTHERS-IN-ARMS,2024-09-16,Unresolved / external claim repeated,"Channel 14 first-party page preserves Almog Cohen's allegation; secondary reporting says later testimony described hearsay/lack of proof.","Primary court transcript/finding needed; do not attribute guest claim to Channel 14 editorial speech."
2026-09-15T120732Z,MAR26-BARDUGO-800-MPCID-SUSPENSIONS,2026-03,Unresolved,"Counter-evidence/provenance exists; full first-party Channel 14 wording/container remains missing.","Recover full first-party broadcast and preferably direct MAG/prosecution documentation."
2026-09-15T120732Z,OHAD-SEGEV-CHYRON,2023-12,Unresolved / exact secondary frame preserved,"Walla preserves exact chyron frame; original Channel 14 broadcast date/container remains missing.","Recover original Channel 14 broadcast; origin is graphic/chyron."
2026-09-15T120732Z,C14-2026-0712-ASHDOD-HAREDI-ARREST-FRAMING,2026-07-12,Unresolved,"Police rebuttal/clarification is preserved via ICE; exact Channel 14 segment remains missing.","Recover exact Channel 14 wording/container; no verdict yet."
2026-09-15T120732Z,C14-2023-1206-JENIN-OLD-FOOTAGE,2023-12-06,Unresolved / historical,"ICE/Bodkim reporting says at least part of the Jenin montage was older N12 footage; exact Channel 14 Patriots segment and matched N12 container remain missing after fresh first-party searches.","Recover both exact containers and determine whether all or only part was old before verdict."
2026-09-15T120732Z,C14-2026-0818-KARIV-LANGUAGE,2026-08-18,Resolved / existing canonical C14-2026-0009,"Verified/High canonical remains correct.","Resolved; do not duplicate."
2026-09-15T120732Z,C14-2026-0816-TOMER-YERUSHALMI-MISID,2026-08-16,Resolved / existing canonical C14-2026-0001,"Verified/High canonical remains correct.","Resolved; do not duplicate."
