run_utc,candidate_id,period,status,progress,gaps
2026-09-15T100927Z,C14-2024-1025-BROTHERS-IN-ARMS,2024-10-25,Unresolved / court-mapped,One of three publications covered by the district-court correction ruling; current Channel 14 page is corrected and the channel admitted the relevant linkage was erroneous.,Recover exact pre-correction Channel 14 media/page state and preserve precise claim origin before canonicalization.
2026-09-15T100927Z,C14-2024-1031-BROTHERS-IN-ARMS,2024-10-31,Unresolved / court-mapped,One of three publications covered by the district-court correction ruling; current Channel 14 page is corrected and the channel admitted the relevant linkage was erroneous.,Recover exact pre-correction Channel 14 media/page state and preserve precise claim origin before canonicalization.
2026-09-15T100927Z,C14-2024-1103-BROTHERS-IN-ARMS,2024-11-03,Unresolved / court-mapped,One of three publications covered by the district-court correction ruling; current Channel 14 page is corrected and the channel admitted the relevant linkage was erroneous.,Recover exact pre-correction Channel 14 media/page state; claim-origin attribution remains unresolved.
2026-09-15T100927Z,C14-2024-0916-ALMOG-COHEN-BROTHERS-IN-ARMS,2024-09-16,Unresolved / external claim repeated,Channel 14 first-party page preserves Almog Cohen's allegation. Secondary reporting says Cohen later testified his information was hearsay and he lacked proof.,Primary court transcript/finding needed for a defensible verdict; do not attribute Cohen's statement to Channel 14 editorial speech.
2026-09-15T100927Z,MAR26-BARDUGO-800-MPCID-SUSPENSIONS,2026-03,Unresolved,Strong counter-evidence/provenance exists for the approximately 800 suspensions claim. Fresh exact-wording/first-party searches again did not recover the missing full Channel 14 broadcast/container.,"Recover the full first-party Channel 14 broadcast/container and, ideally, direct MAG/prosecution documentation before verdict."
2026-09-15T100927Z,OHAD-SEGEV-CHYRON,2026,Unresolved,"Walla and HKN preserve an exact Channel 14 frame reading that Ohad Segev was a reserve major/former Shaldag officer, while Segev's response acknowledged he was not an officer and described a campaign error. The original Channel 14 broadcast container/date remains unrecovered, so the exact secondary frame is not being substituted for first-party media.","Recover original Channel 14 broadcast date/container; origin is graphic/chyron, not a guest statement."
2026-09-15T100927Z,C14-2026-0712-ASHDOD-HAREDI-ARREST-FRAMING,2026-07-12,Unresolved,"ICE preserves a police rebuttal/clarification that the detention was mistaken identification during a judicially authorized investigation, not an anti-Haredi policy.",Exact Channel 14 segment and wording remain missing; no verdict assigned.
2026-09-15T100927Z,C14-2026-0818-KARIV-LANGUAGE,2026-08-18,Resolved / existing canonical C14-2026-0009,"Canonical Google Sheet already contains Verified/High C14-2026-0009: Dana Varon said Gilad Kariv switched to Arabic, while the exact clip was Hebrew speech with Arabic subtitles. Channel 14's own page embeds the segment; Walla and ICE independently document the language mismatch.",Resolved; do not duplicate. Keep origin as presenter/editor and the verdict limited to the language claim.
2026-09-15T100927Z,C14-2023-1206-JENIN-OLD-FOOTAGE,2023-12-06,Unresolved / historical candidate,"ICE reported on Dec. 7, 2023 that during the previous night's Patriots broadcast Yinon Magal presented armed-training footage from Jenin as videos coming out in recent days, while a Bodkim check said at least part of the footage had aired with N12 correspondent Ohad Hamo more than a year earlier. This run again recovered the detailed ICE description but not the exact first-party Patriots segment or matched N12 container.",Recover the exact first-party Channel 14 segment and the matched older N12 footage/container before assigning a verdict; confirm whether all or only part of the montage was old.
2026-09-15T100927Z,C14-2026-0309-B2-DCS-VIDEO,2026-03-08,Resolved / existing canonical C14-2026-0002,Verified/High canonical already preserves the Digital Combat Simulator footage case.,Resolved; do not duplicate.
2026-09-15T100927Z,C14-2026-0816-TOMER-YERUSHALMI-MISID,2026-08-16,Resolved / existing canonical C14-2026-0001,Verified/High canonical already preserves the mistaken identification and exact deleted segment.,Resolved; do not duplicate.
