run_utc,candidate_id,period,status,progress,gaps
2026-09-15T151038Z,PV-2026-08SEP-BIR-AL-MASKOUB-WELL-01,2026-08..09 / reported 2026-09-11,New ongoing-incident candidate / actor attribution source-chain unresolved,"WAFA, Anadolu, Raya and other Palestinian outlets reported ongoing interference with the Bir al-Maskoub Bedouin community water well east of Jerusalem. WAFA attributes the underlying account to Jerusalem Governorate, which says residents documented people identified as settlers entering the well over recent weeks and throwing unknown materials/objects into it; Raya carries incident-site imagery. An Aug. 22 report also described vandalism/pollution at the same well, indicating an ongoing cluster rather than a safely date-bounded single event. The available Sept. 11 coverage substantially shares the same Governorate/resident source chain, so it is not independent actor corroboration.","Recover original resident documentation and/or an independent police/OCHA/rights-monitor same-event or same-cluster record; establish exact dates, acts, actors and media provenance before canonicalization. Do not infer political affiliation from location/context alone."
2026-09-15T151038Z,PV-2026-09CHANNEL13-TZUR-LEVAVI-FIRE-01,2026-09-13,Disputed exact-media candidate / blocked,"Channel 13 exact footage was broadcast as showing settler arsonists igniting agricultural land; Times of Israel repeated that description. A specific counter-account from Abu Ali Express says the same footage instead shows Jewish residents using beaters and blowers to extinguish a fire near Tzur Levavi Farm after an alert. No same-event Fire and Rescue, police, or other independent cause/actor finding surfaced. Because the footage itself does not resolve ignition versus suppression, the incident remains disputed and no political affiliation is inferred.","Recover Fire and Rescue incident log or independent same-event reporting establishing location, time, cause and actors; preserve both interpretations until resolved."
2026-09-15T151038Z,PV-2026-09WADI-RAHIM-STONES-01,2026-09-07,Exact-media candidate / actor attribution unresolved,"Times of Israel exact same-event footage shows unidentified stone-throwers targeting Palestinian electricity workers and nearby Border Police; reporting identifies them as settlers, while no same-event Border Police/IDF statement identifying the actors surfaced.","Independent same-event actor corroboration and/or police/IDF response; do not infer affiliation from context."
2026-09-15T151038Z,PV-2026-09BEITA-LIVESTOCK-01,2026-09-11,Exact-media candidate / ownership and army-role claims unresolved,"WAFA exact video and reporting plus Times of Israel preserve the livestock-taking allegation; Anadolu independently reports settlers taking sheep while soldiers were present, but ownership and soldiers' precise role remain unresolved.","Seek IDF/police response and independent same-event confirmation of livestock ownership and soldiers' precise conduct."
2026-09-15T151038Z,PV-2026-09BEITA-INFRA-OCHA-01,2026-09-02..08,UN-confirmed cluster / exact-event mapping unresolved,"OCHA independently records settlers attacking livestock facilities and damaging electricity/other infrastructure in Beita with four Palestinians injured. WAFA separately records a Sept. 7 Beita/Osarin agricultural-shed assault with two injured and electricity-pole damage. Evidence confirms the cluster but does not safely map details one-to-one.","Recover OCHA incident-level date/source detail and exact media; do not merge with Sept. 11 livestock-taking event."
2026-09-15T151038Z,PV-2026-09HADIDIYA-01,2026-09-05..08,Materially strengthened / exact media still missing,"OCHA states settlers took about 30 livestock water tanks and began fencing grazing land; WAFA separately reported livestock-water-tank theft in the northern Jordan Valley.","Recover exact/original incident media and reconcile exact date/linkage before canonicalization."
2026-09-15T151038Z,PV-2026-03DEIRSHARAF-01,2026-03-25,Unresolved / likely distinct source-date problem,"Fresh searches corroborate a separate Mar. 22 Deir Sharaf settler arson/property attack via WAFA and Times of Israel, but that does not establish that the queued Mar. 25 B'Tselem donkey-theft/threat candidate is the same event.","Recover original Mar. 25 B'Tselem item and exact media before dedupe/merge."
2026-09-15T151038Z,PV-2026-09DUMA-TF1-01,2026-09-13,First-party broadcaster container surfaced / same-event confirmation unresolved,"TF1's Sept. 13 news replay remains a first-party same-day broadcast container, but searchable metadata does not establish that the Duma assault was included; activist video and Times of Israel reporting remain preserved.","Recover exact TF1 segment/report or police/IDF same-event statement before treating TF1 as independent confirmation."
2026-09-15T151038Z,PV-2026-09BURQA-GUN-STONES-01,2026-09-14,Unresolved / exact conduct preserved,"Times of Israel preserves footage of masked people reported as settlers throwing stones and one pointing a handgun; WAFA independently reports an armed settler attack in eastern Burqa with incident-specific imagery.","Independent exact-event linkage/location corroboration and closest original-media provenance."
2026-09-15T151038Z,PV-2026-09DEIRBALLOT-FIRE-01,2026-09-14,Materially strengthened / actor attribution source-dependent,"Times of Israel preserves exact Al Jazeera Palestine footage; separate local reporting identifies the agricultural room, owner and damage. No police/OCHA/rights same-event actor-identification source surfaced.","Recover closest original footage and independent actor-identification evidence; affiliation remains unknown unless separately sourced."
2026-09-15T151038Z,PV-2026-09BEITILLU-ABU-RADWAN-01,2026-09-12,Canonicalized / publication gap,"Existing ILPV-2026-0099 remains Partially verified / Medium with exact aftermath footage.","Stable reusable GitHub preview and Notion publication remain blocked; do not substitute generic imagery."
2026-09-15T151038Z,PV-2026-08JANNATAH-ACTIVISTS-AFP-01,2026-08-25,Resolved / existing canonical ILPV-2026-0045,"Verified/High canonical already records the Jannatah attack with AFP and Times of Israel independent documentation.","Resolved; attach only genuinely new exact media after checking existing Sources/Media rows."
2026-09-15T151038Z,PV-2026-09FAQOUA-SHOOTING-01,2026-09-12,Resolved / existing canonical ILPV-2026-0097,"Times of Israel exact footage and IDF response remain consistent with the existing canonical.","Resolved; do not duplicate."
