run_utc,candidate_id,period,status,progress,gaps
2026-09-15T130929Z,PV-2026-09WADI-RAHIM-STONES-01,2026-09-07,Exact-media candidate / actor attribution unresolved,"Times of Israel exact same-event footage still shows unidentified stone-throwers targeting Palestinian electricity workers and nearby Border Police; reporting identifies them as settlers, but no same-event Border Police/IDF statement identifying the actors surfaced in this run.","Independent same-event actor corroboration and/or police/IDF response; do not infer affiliation from context."
2026-09-15T130929Z,PV-2026-09BEITA-LIVESTOCK-01,2026-09-11,Exact-media candidate / ownership and army-role claims unresolved,"WAFA exact video and reporting plus Times of Israel preserve the livestock-taking allegation; Anadolu independently reports settlers taking sheep while soldiers were present, but the ownership dispute and soldiers' precise role remain unresolved.","Seek IDF/police response and independent same-event confirmation of livestock ownership and soldiers' precise conduct."
2026-09-15T130929Z,PV-2026-09BEITA-INFRA-OCHA-01,2026-09-02..08,New tracked cluster / UN-confirmed / exact-event mapping unresolved,"OCHA's 11 Sept report independently records settlers attacking livestock facilities and damaging electricity/other infrastructure in Beita with four Palestinians injured. WAFA separately records a 7 Sept Beita/Osarin agricultural-shed assault with two injured and electricity-pole damage. The evidence confirms the cluster but casualty count/location details are not yet safe to map one-to-one.","Recover OCHA incident-level date/source detail and exact media; do not merge with the separate 11 Sept livestock-taking event."
2026-09-15T130929Z,PV-2026-09HADIDIYA-01,2026-09-05..08,Materially strengthened - exact media still missing,"OCHA states settlers took about 30 livestock water tanks and began fencing grazing land; WAFA separately reported livestock-water-tank theft in the northern Jordan Valley.","Recover exact/original incident media and reconcile exact date/linkage before canonicalization."
2026-09-15T130929Z,PV-2026-09MUGHAYYIR-01,2026-09-04,Unresolved,"Exact aftermath footage exists; exact convoy-assault details still principally trace to the same activist source.","Independent same-event corroboration and reconcile separate three-brothers report before merge."
2026-09-15T130929Z,PV-2026-03DEIRSHARAF-01,2026-03-25,Unresolved / likely distinct source-date problem,"Fresh searches strongly corroborate a separate 22 Mar Deir Sharaf settler arson/property attack via WAFA and Times of Israel, but that does not establish that the queued 25 Mar B'Tselem donkey-theft/threat candidate is the same event.","Recover the original 25 Mar B'Tselem item and exact media before dedupe/merge; do not collapse distinct conduct merely because place/date are close."
2026-09-15T130929Z,PV-2026-09WADI-SHAER-01,2026-09-13,Unresolved,"WAFA names Mohammed Darwish and Nashat Ishtayeh as beaten; exact aftermath footage exists.","Independent medical/police/OCHA/rights corroboration and exact-media provenance."
2026-09-15T130929Z,PV-2026-09DEIRJARIR-01,2026-09-13..14,Unresolved,"Local reporting describes settler attacks around Deir Jarir and vehicle damage; exact footage has surfaced for part of the reporting.","Independent event-level corroboration and exact linkage between footage and claimed incident."
2026-09-15T130929Z,PV-2026-09DUMA-TF1-01,2026-09-13,First-party broadcaster container surfaced / same-event confirmation unresolved,"TF1's own Sept. 13 13:00 news replay page remains surfaced as a first-party same-day broadcast container, but searchable metadata still does not establish that the Duma assault was included; activist video and Times of Israel report remain preserved.","Recover the exact TF1 segment/report or a TF1/police/IDF same-event statement before treating the broadcaster as independent confirmation."
2026-09-15T130929Z,PV-2026-09BURQA-ANDREY-01,2026-09-13,Unresolved,"Original video shows soldiers pointing rifles and one saying they protect Jews only.","Same-event IDF/police corroboration and precise location/sequence; do not infer political affiliation."
2026-09-15T130929Z,PV-2026-09BURQA-GUN-STONES-01,2026-09-14,Unresolved / exact conduct preserved,"Times of Israel preserves footage of masked people reported as settlers throwing stones and one pointing a handgun; WAFA independently reports an armed settler attack in eastern Burqa with incident-specific imagery.","Independent exact-event linkage/location corroboration and closest original-media provenance; keep separate allegations separate unless linked."
2026-09-15T130929Z,PV-2026-09DEIRBALLOT-FIRE-01,2026-09-14,Materially strengthened / actor attribution still source-dependent,"Times of Israel preserves exact Al Jazeera Palestine footage; separate local reporting identifies the agricultural room, owner and damage. No police/OCHA/rights same-event actor-identification source surfaced.","Recover closest original footage and independent actor-identification evidence; affiliation remains unknown unless separately sourced."
2026-09-15T130929Z,PV-2026-09BEITUMMAR-GUN-CHILDREN-01,2026-09-13,Unresolved,"Palestine TV footage republished by secondary outlets visibly shows an armed settler coercing children.","Independent corroboration of identities, ages, location and sequence plus closest original media."
2026-09-15T130929Z,PV-2026-09BEITILLU-ABU-RADWAN-01,2026-09-12,Canonicalized / publication gap,"Existing ILPV-2026-0099 remains Partially verified / Medium with exact aftermath footage.","Stable reusable media bytes / GitHub preview remain blocked and no Notion card recovered."
2026-09-15T130929Z,PV-2026-08JANNATAH-ACTIVISTS-AFP-01,2026-08-25,Resolved / existing canonical ILPV-2026-0045,"Verified/High canonical already records the Jannatah attack with AFP and Times of Israel independent documentation.","Resolved; attach only genuinely new exact media after checking existing Sources/Media rows."
2026-09-15T130929Z,PV-2026-09FAQOUA-SHOOTING-01,2026-09-12,Resolved / existing canonical ILPV-2026-0097,"Times of Israel exact footage and IDF response remain consistent with the existing canonical.","Resolved; do not duplicate."
