run_utc,candidate_id,period,status,progress,gaps
2026-09-14T220649Z,PV-2026-09HADIDIYA-01,2026-09-07,Hold - strong; exact media gap,"OCHA records settlers taking about 30 livestock-water tanks and beginning to fence grazing land in Al-Hadidiya, restricting Palestinian access; WAFA independently confirms the same-day fencing/access restriction near tents and agricultural land. Fresh recheck found no gap-closing exact media or independent confirmation of the tank-taking.","No exact incident-specific media recovered; the ~30-tank detail remains OCHA-only. Seek B'Tselem/Yesh Din/original resident or activist media and independent confirmation of the tank-taking."
2026-09-14T220649Z,PV-2026-09MUGHAYYIR-01,2026-09-04,Hold - exact media; weak independent corroboration,"Exact footage embedded by Times of Israel shows injured men and vehicle damage after an alleged settler attack on a condolence convoy; a separate same-day report concerns three brothers attacked near Al-Mughayyir but linkage remains unresolved. Fresh recheck found no independent convoy-specific corroboration.","Convoy-specific facts still trace principally to activist Andrey Khrzhanovskiy. Need independent event-level corroboration and resolution of whether the three-brothers report is the same incident."
2026-09-14T220649Z,PV-2026-03DEIRSHARAF-01,2026-03-25,Date/source reconciliation required - likely Mar. 22 duplicate or misdate,"Targeted unresolved-first recheck found a strongly corroborated Deir Sharaf settler arson/property attack on 2026-03-22: WAFA reports burning of part of a car wash, a blacksmith office, a crane and a bulldozer; Times of Israel separately reports settlers setting fire to several vehicles at a Deir Sharaf scrapyard; Anadolu also reports the multi-location attack. No reliable distinct 2026-03-25 Deir Sharaf vehicle-attack record surfaced. The existing Mar. 25 candidate is therefore likely misdated or derivative of Mar. 22, but that cannot be assumed without recovering its original source.","Recover the original Mar. 25 candidate source and determine whether it describes a distinct incident or a date error/duplicate of Mar. 22. If it is Mar. 22, deduplicate against any existing canonical and prefer exact event media or a police/official statement before promotion."
2026-09-14T220649Z,PV-2026-09WADI-SHAER-01,2026-09-13,Strong candidate - exact aftermath media; source-independence caution,"WAFA identifies Mohammed Darwish and Nashat Ishtayeh as injured after settlers severely beat them while they were on agricultural land in Wadi al-Sha'er east of Salfit. Exact aftermath footage remains available; a fresh recheck found reporting that repeats the same account but no clearly independent medical/police/OCHA/rights-group corroboration.","Recovered footage shows aftermath/injuries rather than the assault itself. Seek PRCS/medical, police, OCHA, B'Tselem/Yesh Din or other genuinely independent event-level corroboration before canonicalization."
2026-09-14T220649Z,PV-2026-09DEIRJARIR-01,2026-09-13,Candidate - exact property-damage media; detail linkage unresolved,"WAFA reports settlers attacking Deir Jarir, firing live rounds and closing the village gate with no injuries. Times of Israel separately embeds exact same-date footage of a Palestinian vehicle damaged near the village entrance and reports settler attribution. Fresh recheck did not close the linkage gap.","Need independent confirmation tying the filmed vehicle damage to the same village attack and preferably police/OCHA/rights-group corroboration; do not merge live-fire/gate allegations with property damage beyond what sources support."
2026-09-14T220649Z,PV-2026-09DUMA-TF1-01,2026-09-13,High-priority civil-society/media candidate - exact video; independent corroboration pending,"Times of Israel reports that Israeli volunteer group Looking the Occupation in the Eye posted exact video saying settlers assaulted a French TF1 television crew filming with two Israeli activists near Duma/Ma'rajim outside the Michtam LeDavid outpost. Fresh recheck found the exact activist-group video still available but no independently indexed TF1 testimony, police or IDF account.","Current incident-level account still depends on the activist group's exact post as surfaced by ToI. Seek TF1/journalist testimony, police/IDF response or another independent source; preserve foreign journalists and Israeli activists separately as targets if accepted."
2026-09-14T220649Z,PV-2026-09BURQA-ANDREY-01,2026-09-13,High-priority intimidation/media candidate - exact original video,"Al Jazeera preserves and links the exact original Instagram reel from journalist/activist Andrey X in Burqa showing masked Israeli soldiers pointing rifles toward Palestinians; one soldier is recorded saying their role is to protect Jews only, and a closed-military-zone order is shown. Fresh recheck found no independent same-event IDF/police account.","Do not link this encounter to separate Sep. 12 or Sep. 14 Burqa settler incidents without evidence. Seek IDF/police response, additional participant/journalist accounts and exact timing before canonicalization; do not infer political affiliation of soldiers."
2026-09-14T220649Z,PV-2026-09MUGHAYYIR-ACTIVIST-DETENTION-01,2026-09-13,High-priority civil-society candidate - identity/media missing,"WAFA reports Israeli forces detained an unnamed foreign solidarity activist and his vehicle at the western Al-Mughayyir checkpoint while tightening access restrictions; derivative republication does not provide an independent evidentiary route. Fresh recheck found no identity or exact media.","Only one underlying incident source is established. Need activist identity/testimony, exact media, IDF/police response or independent event-level corroboration before canonicalization; preserve security-force political affiliation as unclear unless directly evidenced."
2026-09-14T220649Z,PV-2026-09BURQA-GUN-STONES-01,2026-09-14,Exact-media candidate - independent corroboration pending,"Times of Israel embeds an exact Sep. 14 post from Unarmed Civilian Protection in Palestine showing masked settlers throwing stones toward Burqa and one man drawing and pointing a handgun toward the people filming; no injuries were reported. Fresh recheck found no gap-closing independent event-level source.","Exact footage supports visible menacing/stone-throwing conduct, but independent event-level corroboration and precise location/identity confirmation are still needed. Seek WAFA/OCHA/police/IDF/rights-group corroboration. Do not merge with the distinct Sep. 12 Burqa vehicle-damage incident or Sep. 13 soldier encounter."
2026-09-14T220649Z,PV-2026-09DEIRBALLOT-FIRE-01,2026-09-14,Exact-media arson/property candidate - corroboration pending,"Times of Israel embeds exact Al Jazeera Palestine same-day footage/report of settlers setting fire to Palestinian agricultural fields and an agricultural room in Deir Ballut; no injuries were reported. Fresh recheck found no independent local/OCHA/police/rights-group confirmation.","Seek independent confirmation and exact ownership/location details before canonicalization. Do not conflate this with earlier Deir Ballut land/property incidents."
2026-09-14T220649Z,PV-2026-09BEITUMMAR-GUN-CHILDREN-01,2026-09-13,Strong exact-media intimidation candidate - broader details need corroboration,"Exact locally hosted video, subsequently surfaced by Palestine TV/Al Jazeera and Anadolu, shows an armed settler pointing a firearm toward a group of Palestinian minors/youths in Beit Ummar and forcing them to raise their hands/comply. Local Masar reporting supplies the exact MP4 and additionally alleges vehicle-window damage, phone-taking and a later IDF intervention. Fresh recheck found no clearly independent source closing those broader details.","The video itself strongly supports menacing/coercive intimidation with a firearm. Seek independent event-level confirmation of victim identities/ages and the broader property/seizure/IDF sequence before canonicalization; do not extend findings beyond visible conduct and independently supported facts."
