candidate_id,date,location,target,summary,discovery_sources,status,incident_id,resolution_notes,media_status
MAR23-001,2023-03-18,Herzliya,Israeli protesters / activists,"Driver allegedly drove into anti-government protesters, lightly injuring one; eyewitness also reported post-ramming assault.","Times of Israel; Israel National News; Kan embedded footage",Accepted,ILPV-2023-0304,"Verified from police reporting plus attributed eyewitness corroboration; driver politics remain unknown.",MED-2023-0042 exact Kan embed identified; stable GitHub preview pending.
MAR23-002,2023-03-18,Givatayim,Israeli protesters / activists,"Motorcyclist drove into anti-overhaul protesters and was detained on suspicion of assault and threats; no injuries.","Times of Israel; exact social video",Accepted,ILPV-2023-0305,"Verified conduct and detention; no political affiliation inferred from target/context.",MED-2023-0043 exact embedded video identified; stable GitHub preview pending.
MAR23-003,2023-03-25,Or Akiva,Journalists / media workers,"Channel 13 reporter Liron Shamam was kicked while her crew was attacked at a pro-overhaul demonstration.","Israel National News; Jerusalem Post; Channel 13/social footage",Accepted,ILPV-2023-0306,"Sources explicitly identify attacking group as Likud supporters/right-wing activists; no formal party membership assigned to individuals.",MED-2023-0044 exact incident video identified; stable GitHub preview pending.
MAR23-004,2023-03-27,Jerusalem,Journalists / media workers,"Far-right pro-overhaul rioters attacked Channel 13 reporter Yossi Eli and cameraman Avi Cashman, causing a broken rib and head injury.","Times of Israel; Jerusalem Post; Yossi Eli original post",Accepted,ILPV-2023-0307,"Verified by two major reports plus named-victim original post; La Familia members explicitly identified among attackers.",MED-2023-0045 exact original X post identified; X retrieval/stable preview pending.
MAR23-005,2023-03-27,Jerusalem,Arab taxi driver,"Right-wing rioters chased and attacked an Arab taxi driver and heavily damaged his vehicle after the pro-overhaul rally.","Times of Israel; Jerusalem Post; Kan footage; police statement",Accepted,ILPV-2023-0308,"Verified; target citizenship not assumed beyond reported Arab identity; far-right characterization rests on major reporting.",MED-2023-0046 exact Kan embed identified; stable GitHub preview pending.
MAR23-006,2023-03-27,Jerusalem,Journalists / media workers,"Far-right demonstrators pushed and harassed Makan/Kan Arabic reporter Tamer Alkilani during a live update while shouting anti-Arab threats.","Times of Israel; Jerusalem Post",Accepted,ILPV-2023-0309,"Verified from two major reports; political characterization is source-based and not generalized to the entire rally.",No exact original clip recovered yet.
MAR23-007,2023-03-03,Khirbet Zantua (Hebron),Palestinians — West Bank,"Settlers physically assaulted and injured two Palestinian herders.","OCHA Protection of Civilians 28 Feb-13 Mar 2023",Unresolved,,"Event-level OCHA lead was rechecked against local/major reporting; no independent event-level corroboration or exact media was recovered. Preserve rather than accept from an isolated lead.",No exact media recovered.
MAR23-008,2023-03-03,Burin,Palestinians — West Bank,"Masked settlers threw stones at Palestinian homes, shattered windows and damaged olive trees while soldiers stood nearby.","Times of Israel; Yesh Din exact footage",Accepted,ILPV-2023-0311,"Canonical incident written after deduplication. Exact Yesh Din footage embedded by Times of Israel verifies the attack and tree damage; IDF response is separately quoted. Settler movement is the narrow supported label.",MED-2023-0048 exact Yesh Din footage/still recovered; stable GitHub preview pending.
MAR23-009,2023-03-06,Huwwara,Palestinians — West Bank,"Settlers attacked Palestinians and property in Huwwara; four Palestinians were reported hospitalized, including a young child exposed to irritant inside a family car.","Times of Israel/Yesh Din; Reuters exact video",Accepted,ILPV-2023-0312,"Canonical incident written after deduplication. Times of Israel/Yesh Din report four hospitalized Palestinians; Reuters independently filmed the attacked family, damaged vehicle and medical treatment. Broader contemporaneous injury counts varied, so canonical count is conservative.",MED-2023-0049 exact Reuters video recovered; stable GitHub preview pending.
MAR23-010,2023-03-17,Deir Sharaf,Palestinians — West Bank,"A Palestinian man was shot and injured with live ammunition; Palestinian eyewitnesses said settlers opened fire in the presence of Israeli forces.","OCHA Protection of Civilians 14-27 Mar 2023",Unresolved,,"Single event-level OCHA report based on eyewitnesses remains without independent event-level corroboration after targeted recheck; preserve as unresolved rather than promote.",No exact media recovered.
MAR23-011,2023-03-20,Salfit,Palestinians — West Bank,"Tires on at least 25 Palestinian cars were punctured and 'Price Tag' graffiti sprayed; footage showed masked youths suspected to be settlers.","Times of Israel; Yesh Din images/video; U.S. Department of State 2023 religious-freedom report",Accepted,ILPV-2023-0310,"Canonical incident written after deduplication. Times of Israel preserves exact Yesh Din surveillance footage and the U.S. State Department independently records the date/location/damage and settler characterization. Settler movement is the narrow source-supported label; no far-right attribution is inferred from the graffiti alone.",MED-2023-0047 exact video recovered; stable GitHub preview built; Notion card published and verified.
