candidate_id,date,location,summary,status,incident_id,reason,next_step
SEP22-001,2022-09-02,Jerusalem,Settlers severely beat Nidal Al-Natsheh causing head contusions,Accepted,ILPV-2022-0033,NAD exact incident; partially verified,Seek independent corroboration/media
SEP22-002,2022-09-08,Sinjil / a-Rafid,"Settlers attacked farmers planting olive saplings, injuring about 20, stealing saplings and damaging cars",Accepted,ILPV-2022-0025,B'Tselem exact visual documentation plus OCHA and NAD,Complete exact preview
SEP22-003,2022-09-12,At Tuwani,"Masked settlers attacked Hafez Hureini on private land, breaking both arms; ambulance obstructed/damaged",Accepted,ILPV-2022-0026,Local Call full-video reconstruction plus Times of Israel and NAD,Recover original/direct video and stable preview
SEP22-004,2022-09-16,Hebron Old City near Ibrahimi Mosque,Settlers severely beat 16-year-old Mustafa Qafisha,Accepted,ILPV-2022-0032,Detailed NAD incident; partially verified,Seek independent source/media
SEP22-005,2022-09-19,Huwwara,Settlers assaulted residents and attacked shops/vehicles; three direct settler-caused injuries,Accepted,ILPV-2022-0027,WAFA plus OCHA/NAD and exact IMEMC video,Complete exact preview
SEP22-006,2022-09-22,Za'atara Junction,Settlers pepper-sprayed Nazir Fawaz Adili and sons Rayan and Yazan,Accepted,ILPV-2022-0028,NAD exact names/time plus OCHA and PSNA,Seek exact media
SEP22-007,2022-09-24,Khirbet Bir al-'Idd,"Settlers broke into vacant homes, stole cables, destroyed fence and damaged water cistern",Accepted,ILPV-2022-0029,B'Tselem Masafer Yatta chronicle; partially verified,Seek independent source/exact media
SEP22-008,2022-09-24,Hemed Interchange,Paid Likud activist Rami Ben-Yehuda punched one anti-Netanyahu protester and struck another with megaphone,Accepted,ILPV-2022-0030,N12 exact video plus Times of Israel/Ynet/Channel13 and explicit Likud role,Recover original/direct video and stable preview
SEP22-009,2022-09-28,Madama,"Settlers stoned residents/homes, bruising three Ziada family members",Accepted,ILPV-2022-0031,NAD exact names plus OCHA incident corroboration,Seek exact media
SEP22-010,2022-09-01,Near At Tuwani,Settlers reportedly attacked shepherd Mahmoud Al-Hamamdeh,Pending,,NAD monthly candidate,Find independent incident-level corroboration and violence details
SEP22-011,2022-09-01,Khalil al-Lawz,Settlers reportedly stoned Palestinian homes,Pending,,NAD monthly candidate,Resolve damage/injuries and independent source
SEP22-012,2022-09-01,Kisan / Wadi Abyan,Settlers reportedly cut water lines serving Palestinian land,Pending,,NAD monthly candidate,Resolve exact damage and corroboration
SEP22-013,2022-09-01,Evni Hefetz area,Settlement guard reportedly attacked Palestinian farmers,Pending,,NAD monthly candidate,Resolve conduct/injury and independent source
SEP22-014,2022-09-02,Naqoura / Zawata,Settlers reportedly destroyed Palestinian greenhouses/agricultural property,Pending,,NAD monthly candidate,Resolve exact damage and independent source
SEP22-015,2022-09-02,Al-Auja spring area,Armed settlers erected tents and reportedly chased/expelled Palestinians,Pending,,NAD monthly candidate,Assess violence threshold/threat evidence
SEP22-016,2022-09-04,Al-Masoudiya,Settlers reportedly destroyed caravan/fence,Pending,,NAD monthly candidate,Find incident-level corroboration
SEP22-017,2022-09-04,Yitzhar road,Settlers reportedly stoned Palestinian vehicles causing damage,Pending,,NAD monthly candidate,Resolve exact vehicle/damage and corroboration
SEP22-018,2022-09-05,Burqa,Settlers reportedly stoned and damaged Amer Rizek's vehicle,Pending,,NAD monthly candidate,Seek independent source/media
SEP22-019,2022-09-05,Kafr ad-Dik,Armed settlers reportedly detained Palestinian residents,Pending,,NAD monthly candidate,Resolve duration/threats and corroboration
SEP22-020,2022-09-06,Nablus-Jenin road,Settlers reportedly blocked road and pepper-sprayed Palestinian vehicles,Pending,,NAD monthly candidate,Resolve victims/injuries and corroboration
SEP22-021,2022-09-06,Khalayel al-Lawz,Armed settlers reportedly assaulted six Palestinians; one injured,Pending,,NAD monthly candidate,Find independent source and exact victim details
SEP22-022,2022-09-07,Beit Dajan,Settlers reportedly destroyed irrigation project and stole pump,Pending,,NAD monthly candidate,Find independent source
SEP22-023,2022-09-07,Yitzhar road,Settlers reportedly stoned passing Palestinian vehicles,Pending,,NAD monthly candidate,Resolve damage/injury and dedupe nearby events
SEP22-024,2022-09-08,Homesh road,Settlers reportedly stoned/pepper-sprayed Palestinian motorists,Pending,,NAD monthly candidate,Resolve distinct event and injury/damage
SEP22-025,2022-09-08,Burin,Settlers reportedly attacked homes and damaged Firas Musa Omran's vehicle,Pending,,NAD monthly candidate,Find independent incident-level corroboration
SEP22-026,2022-09-09,Einabus,Settlers reportedly set fire to sheep-breeding barracks,Pending,,NAD monthly candidate,Find independent source and exact property loss
SEP22-027,2022-09-09,Yitzhar road,Settlers reportedly stoned Palestinian vehicles causing damage,Pending,,NAD monthly candidate,Resolve exact damage and dedupe
SEP22-028,2022-09-10,Huwwara,Settlers reportedly attacked residents,Pending,,NAD monthly candidate,Resolve conduct/injury and distinctness from Sep19
SEP22-029,2022-09-10,Burin,Settlers reportedly attacked residents,Pending,,NAD monthly candidate,Resolve conduct/injury and independent source
SEP22-030,2022-09-10,Land near Yitzhar,Settlers reportedly set Palestinian agricultural land on fire,Pending,,NAD monthly candidate,Resolve location/property damage and independent source
SEP22-031,2022-09-10,Qaryut,Settlers reportedly cut branches from about 25 olive trees,Pending,,NAD monthly candidate,Find corroboration and exact ownership
