run_utc,period,lane,status,progress,gaps
2026-09-18T16:21:00Z,2022-12-29..2022-12-31,other_israeli_security,In progress,"Targeted Lane 2 sweep found no new distinct Shin Bet/Mossad/NSC/police/Home Front warning event in the transition window beyond already catalogued chains.","Continue obscure official records and later-released inquiry material; do not mark No results or Complete."
2026-09-18T16:21:00Z,2023-01,other_israeli_security,In progress,"No new Lane 2 warning crossed threshold. Freshness/document recovery separately produced WARN-92 from a Jan 28 Military Intelligence cabinet protocol report. Aharon Haliva's reported January warning of insufficient Gaza intelligence access was logged Investigating.","Identify the exact Haliva meeting/date and recover independent protocol/official corroboration."
2026-09-18T16:21:00Z,2023-02,other_israeli_security,In progress,"Existing Feb 15 Bar-to-Ben Gvir East Jerusalem escalation warning was deduplicated as already Accepted. A separate February Bar 'on the way to escalation' Ramadan-preparation warning was logged Investigating.","Recover exact meeting date and protocol/independent corroboration for the broader February warning."
2026-09-18T16:21:00Z,2023-03,other_israeli_security,In progress,"Shin Bet/NSC/police escalation chains and Ramadan-related records were rechecked; no new non-duplicate event met threshold.","Continue primary meeting records and recipient/response evidence."
2026-09-18T16:21:00Z,2023-04,other_israeli_security,In progress,"Existing Shin Bet deterrence/escalation warning chains were rechecked. The retrospective April deterrence warning remains below promotion threshold where independent corroboration is incomplete.","Seek contemporaneous Bar/Shin Bet documentation or independent official corroboration."
2026-09-18T16:21:00Z,2023-05,other_israeli_security,In progress,"Existing Bar/Hamas-next-challenge and related security warning records were found already published in Notion and deduplicated; no new May event accepted.","Continue primary/official recovery and exact response evidence."
2026-09-18T16:21:00Z,2023-06,other_israeli_security,In progress,"Police and internal-security capacity warnings were rechecked. The 6 Jun Shabtai multi-arena capacity warning remains unresolved for qualifying executive receipt; the 9 Jun former-police-chiefs Netanyahu warning is already Accepted and was not duplicated.","Establish named executive receipt for Shabtai's 6 Jun warning or keep unresolved."
2026-09-18T16:21:00Z,2023-07,other_israeli_security,In progress,"Existing Ronen Bar strategic-war/deterrence and Shin Bet resource-diversion warnings were deduplicated as already published; no new July Lane 2 event accepted.","Continue primary record recovery and exact chronology/response evidence."
2026-09-18T16:21:00Z,2023-08,other_israeli_security,In progress,"Existing Shin Bet warnings on Jewish terrorism, Gaza-directed West Bank attacks and related security deterioration were rechecked/deduplicated; no new August event accepted.","Continue exact meeting records and distinguish repeated assessments from distinct delivery events."
2026-09-18T16:21:00Z,2023-09,other_israeli_security,In progress,"Existing mid-September Bar collision-course/multi-front warning and related Shin Bet chains were found already Accepted and deduplicated. No new September Lane 2 event accepted.","Continue primary Shin Bet/Mossad/NSC document recovery and reconcile overlapping Sep 15-17 warning accounts."
2026-09-18T16:21:00Z,2023-10-01..2023-10-06,other_israeli_security,"In progress / 1 acceptance","Accepted WARN-91: Ronen Bar warned Ben Gvir in the first days of October that a Sukkot Temple Mount visit could inflame security tensions and urged postponement. Existing Oct 1 Hamas/Sinwar warning chains were deduplicated.","Recover the original Channel 13 item/call record or official security assessment; exact call date remains a 1-4 Oct range."
2026-09-18T16:21:00Z,pre-2022-12-29,older_inherited_warnings,In progress,"No new older warning accepted in this run. Existing older Shin Bet/Mossad/NSC/police/Home Front chains were not duplicated.","Continue older professional-security records where later repetition or inherited knowledge to serving 2023 officeholders can be established."
2026-09-18T16:21:00Z,2022-12-29..2023-10-06,other_israeli_security_lane,"In progress / 1 Lane-2 acceptance + 1 freshness acceptance","Lane 2 was executed month-by-month with freshness and unresolved-first work. WARN-91 qualified from Lane 2. Freshness/document recovery also produced WARN-92 from a Jan 28 MI cabinet protocol report. Haliva January Gaza-access and Bar February escalation leads remain Investigating. No month marked Complete.","Largest Lane 2 gaps remain unpublished Shin Bet/Mossad/NSC meeting records, exact dates, primary distribution/receipt records and corroboration of retrospective accounts. Next rotating deep lane: Lane 3 — foreign governments, diplomats and foreign intelligence/security services."
