run_utc,candidate_id,period,status,warning_source,recipient,progress,gaps
2026-09-17T23:08:00Z,WARN-50,2023-01-30..2023-01-31,Accepted / Notion WARN-50,"Antony J. Blinken / U.S. Secretary of State","Benjamin Netanyahu; Yoav Gallant; senior Israeli officials","Official contemporaneous State Department records document Blinken warning of a rising/deeply concerning violence trajectory and urging urgent de-escalation in direct meetings with Netanyahu and Gallant. Accepted High as a general strategic security-deterioration warning.","Not a Hamas-invasion prediction. No public record establishes which later Israeli steps were specifically caused by this warning."
2026-09-17T23:08:00Z,WARN-51,2023-02-18,Accepted / Notion WARN-51,"Antony J. Blinken / U.S. Secretary of State","Benjamin Netanyahu","Official U.S. record and contemporaneous Israeli reporting document Blinken's direct call stressing an urgent need to restore calm and opposing steps that could further escalate tensions. Accepted High.","Aqaba de-escalation followed on 26 Feb, but do not infer that participation was caused by this call. Not attack-specific intelligence."
2026-09-17T23:08:00Z,WARN-52,2023-01-04,Accepted / Notion WARN-52,"Lloyd J. Austin III / U.S. Secretary of Defense","Yoav Gallant","Pentagon readout directly records Austin warning Gallant to avoid policies that could undermine security and stability in the West Bank. Accepted High.","Broad security-deterioration warning only; no specific Israeli response attributable to it is established."
2026-09-17T23:08:00Z,WARN-53,2023-01-12,Accepted / Notion WARN-53,"Josep Borrell / EU High Representative","Eli Cohen","Official EEAS call record shows Borrell warning against unilateral actions and expressing strong concern over the high number of victims. Accepted High.","Broad diplomatic warning, not Hamas-attack foreknowledge; specific Israeli response unresolved."
2026-09-17T23:08:00Z,WARN-54,2023-01-18..2023-01-20,Accepted / Notion WARN-54,"Jake Sullivan / U.S. National Security Advisor","Benjamin Netanyahu; Eli Cohen; Yoav Gallant; Ron Dermer; Tzachi Hanegbi; David Barnea; Herzi Halevi","Official White House readout names recipients and says Sullivan stressed the urgency of avoiding unilateral steps that could inflame tensions, including around Jerusalem holy sites. Accepted High.","General strategic escalation warning, not a Gaza invasion prediction; response remains unclear."
2026-09-17T23:08:00Z,WARN-55,2023-03-19,Accepted / Notion WARN-55,"Joe Biden / U.S. President","Benjamin Netanyahu","Official White House call readout documents Biden urging urgent collaborative security steps while discussing West Bank tensions and violence. Accepted High.","Sharm el-Sheikh diplomacy was concurrent; do not infer specific causal response."
2026-09-17T23:08:00Z,WARN-56,2023-04-08,Accepted / Notion WARN-56,"Lloyd J. Austin III / U.S. Secretary of Defense","Yoav Gallant","Pentagon readout after attacks in Israel and rocket fire from Lebanon and Gaza records Austin urging calm and warning against actions that exacerbate tensions. Accepted High as a general/multi-front escalation warning.","Not a specific Hamas attack warning; no distinct Israeli response attributable to the call established."
2026-09-17T23:08:00Z,WARN-57,2023-05-02,Accepted / Notion WARN-57,"Josep Borrell / EU High Representative","Eli Cohen","Official EEAS meeting record states Borrell urged Israel to halt unilateral measures that could heighten an already high level of tension. Accepted High.","Broad strategic warning; response remains unclear."
2026-09-17T23:08:00Z,WARN-58,2023-06-23,Accepted / Notion WARN-58,"Jake Sullivan / U.S. National Security Advisor","Tzachi Hanegbi","Official White House call record documents deep concern over violence and urges additional steps to restore calm and avoid actions that further inflame tensions. Accepted High.","Broad West Bank/security deterioration warning; no attack-specific content."
2026-09-17T23:08:00Z,WARN-59,2023-07-06,Accepted / Notion WARN-59,"Lloyd J. Austin III / U.S. Secretary of Defense","Yoav Gallant","Pentagon readout documents deep concern over escalating West Bank violence and calls for tangible de-escalation/security steps. Accepted High; Gallant's public accountability position recorded as partial action/context.","Do not infer a causal connection to Oct. 7; warning was general and West Bank-focused."
