run_utc,period,lane,status,progress,gaps
2026-09-17T08:22:16Z,2022-05,primary_document_recovery,In progress / major upgrade,"Accepted two distinct May 2022 Jericho Wall delivery events: WARN-18 Southern Command/Toledano discussion and WARN-19 separate presentation to MI chief Haliva. IDF-hosted Dado Center reconstruction cites contemporaneous 2022 command records and bounds the distribution.","Exact May dates remain unknown. Alleged delivery to then-chief of staff Kochavi is contradicted by the official professional reconstruction and remains disputed."
2026-09-17T08:22:16Z,2022-07,primary_document_recovery,In progress / major upgrade,"Accepted WARN-20 from the documented 27 Jul 2022 Finkelman meeting, with concrete preparations ordered for a possible mass Hamas raid. Identified a 25 Jul Gaza Division raid-threat document as a possible separate/precursor candidate.","Recover the 25 Jul document distribution list and determine whether it is a separate warning event or evidence feeding WARN-20. Establish which 27 Jul follow-up tasks were completed."
2026-09-17T08:22:16Z,2022-12-29..2022-12-31,primary_document_recovery,In progress,"Targeted documentary/historical sweep produced no new distinct accepted warning in this short period; older Jericho Wall chains were materially upgraded instead.","Do not mark Complete or No results; obscure operational records and later-released inquiry material remain open."
2026-09-17T08:22:16Z,2023-01,primary_document_recovery,In progress,"No new distinct documentary-recovery acceptance in this run.","Continue official records, inquiry releases and obscure Hebrew-source recovery."
2026-09-17T08:22:16Z,2023-02,primary_document_recovery,In progress,"No new distinct documentary-recovery acceptance in this run.","Continue primary-record recovery, especially Southern Command/Gaza Division readiness and other-security institution records."
2026-09-17T08:22:16Z,2023-03,primary_document_recovery,In progress / upgraded,"Accepted WARN-21: Zini's March 2023 Gaza Division red-team warning about surprise-raid vulnerabilities and lack of concrete troop scenarios. Scope was deliberately kept narrow because later PMO mass-invasion framing is disputed by the division commander and officers familiar with the report.","Full Zini report and recommendation-implementation record remain unavailable. Exact March date remains unknown."
2026-09-17T08:22:16Z,2023-04,primary_document_recovery,In progress,"No new distinct accepted documentary-recovery event in this run.","Continue source recovery; do not infer absence from this pass."
2026-09-17T08:22:16Z,2023-05,primary_document_recovery,In progress,"No new distinct accepted documentary-recovery event in this run; Jericho/Hamas-exercise chain was followed forward into July.","Continue recovery of May Hamas-exercise products and their later distribution/interpretation."
2026-09-17T08:22:16Z,2023-06,primary_document_recovery,In progress,"No new distinct accepted documentary-recovery event in this run.","Primary warning products and recipient-level handling remain incompletely searched."
2026-09-17T08:22:16Z,2023-07,primary_document_recovery,In progress / major upgrade,"Accepted WARN-22 (6 Jul Unit 8200 NCO V) and WARN-23 (10 Jul NCO S), both specific warnings tying Hamas mass-raid exercises to Jericho Wall. WARN-22 has a documented recipient reply rejecting the scenario as imaginary. A separate 25 Jul/late-chain lead remains unresolved.","Recover named distribution lists and original classified products where possible; determine the exact date/dedupe status of V's later pre-Oct. 7 warning email."
2026-09-17T08:22:16Z,2023-08,primary_document_recovery,In progress / upgraded,"Accepted WARN-24: a separate Gaza Division raid-section analysis challenged prevailing assumptions by synthesizing the exercise evidence against Jericho Wall; the division intelligence officer later rejected the broad scenario and ordered a replacement document.","Exact August date and full distribution remain unavailable. Recover original paper and September discussion record."
2026-09-17T08:22:16Z,2023-09,primary_document_recovery,In progress,"Official IDF expert-team material strengthens the existence of abnormal observer-collected activity over time, but no additional single dated observer warning with qualifying senior receipt was accepted. V's later pre-Oct. 7 warning email remains an unresolved possible distinct event.","Recover dated observer reports/messages, named recipients, V email metadata, Sep chief-of-staff briefing record, Jericho Wall operational-warning chain and Oct. 3 drill documentation."
2026-09-17T08:22:16Z,2023-10-01..2023-10-06,primary_document_recovery,In progress,"No new distinct accepted Lane 6 event in this run. Existing late-warning and drill/document leads remain open.","Oct. 1 Shin Bet assessment, Oct. 3 exercise/drill, observer escalation and other late intelligence products require primary or authoritative records."
2026-09-17T08:22:16Z,pre-2022-12-29,older_inherited_warnings,In progress / major upgrade,"Older-warning lane added three accepted senior-security warning/receipt events: May 2022 Toledano/Southern Command, May 2022 Haliva, and 27 Jul 2022 Finkelman/General Staff operational planning. The 2022 State Comptroller settlement-defense audit remains unresolved for current-officeholder carry-forward.","Continue backward chains without fixed floor; establish current-government carry-forward where the user rule requires it and avoid attributing prior-government receipt automatically."
2026-09-17T08:22:16Z,2022-12-29..2023-10-06,primary_document_recovery_lane,In progress,"Lane 6 documentary-recovery/historical-blind-spot rotation completed successfully. Seven new warning events met threshold and were published to Notion: WARN-18 through WARN-24. No month was marked Complete.","Major remaining gaps: Kochavi delivery contradiction, 25 Jul 2022 distribution/dedupe, V's later warning email date/dedupe, dated observer warning transmissions, Zini full report/implementation, late Sep-Oct records, and inherited State Comptroller knowledge. Next rotating deep lane is Lane 1 IDF/MI/Southern Command/Gaza Division/surveillance/reserve-security professionals."
