period,lane,status,notes
2022-12-29..2022-12-31,primary_document_recovery,In progress,"Targeted documentary recovery; no new qualifying event."
2023-01,primary_document_recovery,In progress,"Targeted documentary recovery; no new qualifying event."
2023-02,primary_document_recovery,In progress,"Targeted documentary recovery; no new qualifying event."
2023-03,primary_document_recovery,In progress,"Primary/document chains rechecked; no additional distinct event."
2023-04,primary_document_recovery,In progress,"MI/political-echelon documentary route remains unresolved."
2023-05,primary_document_recovery,In progress,"PMO/MI and Bar documentary routes remain open."
2023-06,primary_document_recovery,In progress,"Police/local-security documentary routes remain open."
2023-07,primary_document_recovery,In progress,"Saar warning-document date reconciliation remains open."
2023-08,primary_document_recovery,In progress,"No additional distinct event crossed threshold."
2023-09,primary_document_recovery,In progress,"Foreign/security primary-document routes remain open."
2023-10-01..2023-10-06,primary_document_recovery,In progress,"Oct. 1 and Oct. 6 primary material remains unresolved; no new qualifying event."
pre-2022-12-29,older_inherited_warnings,In progress,"Accepted WARN-125 from official 15 Feb 2022 State Comptroller delivery to PM Bennett; recovered 2018 predecessor as an unresolved older chain."
