run_utc,period,lane,status,notes
2026-09-19T06:18:42Z,2022-12-29..2022-12-31,experts_research,In progress,"Second targeted Lane 4 sweep found no additional expert-origin warning in the final 2022 days with documented delivery to current-officeholder recipients. Specialist archives remain open."
2026-09-19T06:18:42Z,2023-01,experts_research,In progress,"Rechecked INSS strategic-assessment material and existing WARN-80 Reichman/ICT chain. INSS material contains substantial professional warnings but no distinct named current-government recipient was established in this pass; WARN-80 remains the accepted expert delivery campaign."
2026-09-19T06:18:42Z,2023-02,experts_research,In progress,"No additional expert-origin warning with sufficiently documented direct receipt crossed threshold. Public expert commentary alone was not treated as delivery."
2026-09-19T06:18:42Z,2023-03,experts_research,In progress,"INSS 21 Mar strategic alert has strong primary contemporaneous warning content on deterrence/readiness/escalation but direct delivery to a qualifying named recipient remains unresolved. Yadlin candidate also requires date and receipt reconciliation."
2026-09-19T06:18:42Z,2023-04,experts_research,In progress,"JISS 16 Apr and Yaakov Amidror 13 Apr warned of significant war/multi-front deterioration risk. Their public warning content is contemporaneous, but no direct named government/security recipient for these specific warnings was established."
2026-09-19T06:18:42Z,2023-05,experts_research,In progress,"Targeted expert/research sweep found no additional distinct warning with qualifying documented receipt after dedupe; keep research-institute and private-briefing routes open."
2026-09-19T06:18:42Z,2023-06,experts_research,In progress,"No additional expert-origin event crossed acceptance threshold in this pass. Cross-lane professional-security warnings remain handled in their respective lanes."
2026-09-19T06:18:42Z,2023-07,experts_research,In progress,"INSS 23 Jul warned of IDF/reserve-readiness and deterrence damage amid regional threats, but no named direct delivery was established. Existing professional-security warnings were deduped."
2026-09-19T06:18:42Z,2023-08,experts_research,In progress,"Giora Eiland's direct Aug. 16 warning remains already accepted. Yigal Carmon's 31 Aug September-October war warning is unusually specific but still lacks documented qualifying government receipt."
2026-09-19T06:18:42Z,2023-09,experts_research,In progress,"No new expert warning crossed threshold. A freshness pass materially strengthened accepted WARN-15 through independent Israel Hayom and Army Radio/Times of Israel reporting on the Egyptian/Shin Bet channel; that is a security/foreign evidence upgrade, not a new expert warning."
2026-09-19T06:18:42Z,2023-10-01..2023-10-06,experts_research,In progress,"No new expert-origin warning with distinct pre-Oct. 7 delivery and qualifying receipt was established. A vague retrospective Ganor claim suggesting a pre-Oct. 6 recommendation was retained only as a documentary-recovery lead and not separated from WARN-80."
2026-09-19T06:18:42Z,pre-2022-12-29,older_inherited_warnings,In progress,"Backward expert sweep found no new distinct inherited/repeated warning crossing threshold. Brik's older direct readiness warning and other established older events remain already represented; no arbitrary historical floor imposed."
2026-09-19T06:18:42Z,all,experts_research,In progress,"Lane 4 completed for this rotation with no new accepted warning. Strong public/primary warnings from INSS, JISS, Carmon, Yadlin and Amidror remain unresolved on direct qualifying receipt. Existing WARN-80 remains the strongest accepted expert/research delivery chain. Next deep lane: Lane 5 — local authorities, Gaza-border communities, emergency/security coordinators and civilian professional bodies."
