run_utc,period,lane,status,notes
2026-09-19T02:15:00Z,2022-12-29..2022-12-31,primary_document_recovery,In progress,"Documentary sweep found no new distinct Dec. 29-31 warning beyond already published Jerusalem-envelope/security-readiness material; no month marked Complete."
2026-09-19T02:15:00Z,2023-01,primary_document_recovery,In progress,"Rechecked intelligence/security-document chains and existing January warnings; no additional distinct event crossed threshold."
2026-09-19T02:15:00Z,2023-02,primary_document_recovery,In progress,"Rechecked police/Shin Bet and escalation documentary leads; no new primary record sufficient for a distinct additional warning."
2026-09-19T02:15:00Z,2023-03,primary_document_recovery,In progress,"Rechecked existing deterrence/readiness letters and expert/security warning chains; no new distinct documentary event."
2026-09-19T02:15:00Z,2023-04,primary_document_recovery,In progress,"No new April 2023 documentary warning crossed threshold; older April 2018 Hamas invasion assessment materially strengthened WARN-9 in the older-warning lane."
2026-09-19T02:15:00Z,2023-05,primary_document_recovery,In progress,"Jericho Wall and Gaza-envelope documentary chains rechecked for duplicates; no new distinct May warning added."
2026-09-19T02:15:00Z,2023-06,primary_document_recovery,In progress,"Official 6 Jun Knesset transcript resolved the police multi-front readiness candidate: serving police leadership quantified a 106-sector scenario with only 63 sectors coverable and large manpower/resource gaps. Published as WARN-108."
2026-09-19T02:15:00Z,2023-07,primary_document_recovery,In progress,"Rechecked Halevi/Saar/readiness documentation and existing accepted warnings; no new distinct July warning beyond published entries."
2026-09-19T02:15:00Z,2023-08,primary_document_recovery,In progress,"Rechecked Jericho Wall/raid-warning document chain and northern readiness material; no new distinct event crossed threshold."
2026-09-19T02:15:00Z,2023-09,primary_document_recovery,In progress,"Fresh September 2026 UAE/Egypt reporting was audited against existing WARN-5, WARN-8 and WARN-76; provenance improved in existing entries but no new distinct warning justified. Public Hamas exercise material without documented delivery remains context only."
2026-09-19T02:15:00Z,2023-10-01..2023-10-06,primary_document_recovery,In progress,"No new distinct pre-Oct. 7 documentary warning crossed threshold. Alerts generated after midnight on Oct. 7 remain excluded by the temporal rule even when evidence is strong."
2026-09-19T02:15:00Z,pre-2022-12-29,older_inherited_warnings,In progress,"WARN-9 strengthened with Ynet document-recovery evidence of PMO weekend-briefing-box delivery of the 16 Apr 2018 Hamas mass-invasion assessment and separate Shin Bet 'spotlight' circulation to NSC. Netanyahu personal reading remains disputed. A 22 Feb 2017 Knesset summary of local-authority concerns about Hamas/Hezbollah offensive buildup was logged as context pending original recipient evidence."
2026-09-19T02:15:00Z,all,primary_document_recovery,In progress,"Lane 6 completed for this rotation. One candidate resolved into WARN-108; WARN-9 upgraded; multiple Jericho Wall, Egypt/UAE and historical items deduplicated rather than split. Continue recovery of primary recipient records, especially disputed personal-delivery claims."
