run_utc,period,lane,status,notes
2026-09-19T01:05:58Z,2022-12-29..2022-12-31,local_emergency_civil,In progress,"Targeted local-authority/emergency sweep found no new distinct warning beyond already accepted Dec. 30 police/Jerusalem-envelope readiness material; local-source archives remain open."
2026-09-19T01:05:58Z,2023-01,local_emergency_civil,In progress,"Targeted local and emergency-source searches found no new qualifying distinct warning with documented senior recipient."
2026-09-19T01:05:58Z,2023-02,local_emergency_civil,In progress,"No new local-authority/emergency warning crossed threshold; existing West Bank and Jerusalem-envelope deterioration chains remain represented elsewhere."
2026-09-19T01:05:58Z,2023-03,local_emergency_civil,In progress,"New WARN-106: Judea-Samaria council heads directly warned IDF Chief Herzi Halevi that residents felt unsafe and urged action to restore deterrence amid weapons proliferation, crossing vulnerabilities and attacks. Northern-protection budget warnings already represented."
2026-09-19T01:05:58Z,2023-04,local_emergency_civil,In progress,"Alon Davidi Apr. 20 Gaza-envelope security demand retained as likely overlap/corroboration; no distinct concrete warning artifact sufficient for a new entry recovered."
2026-09-19T01:05:58Z,2023-05,local_emergency_civil,In progress,"Existing May 3 Gaza-envelope emergency-team warning to Netanyahu remains strongest distinct event; no justified duplicate found."
2026-09-19T01:05:58Z,2023-06,local_emergency_civil,In progress,"Targeted local/emergency searches found no new distinct warning with documented qualifying receipt."
2026-09-19T01:05:58Z,2023-07,local_emergency_civil,In progress,"New WARN-107: northern confrontation-line local leaders directly warned Northern Command chief Ori Gordin about growing Hezbollah presence and provocations. Giora Zaltz Jul. 30 warning remains unresolved because direct receipt by PM/IDF leadership is not documented."
2026-09-19T01:05:58Z,2023-08,local_emergency_civil,In progress,"Northern-border protection/resilience warnings already represented; no distinct additional local warning crossed threshold."
2026-09-19T01:05:58Z,2023-09,local_emergency_civil,In progress,"Gadi Yarkoni fence-unrest warning already represented. Israel Ganz retrospective 'we warned it was war' claim logged but not accepted because contemporaneous recipient/corroborating evidence is absent."
2026-09-19T01:05:58Z,2023-10-01..2023-10-06,local_emergency_civil,In progress,"No new distinct local/emergency warning with qualifying pre-Oct. 7 receipt crossed threshold in this pass."
2026-09-19T01:05:58Z,pre-2022-12-29,older_inherited_warnings,In progress,"Older Gaza-border tunnel, fence and State Comptroller/local-authority warning chains were deduplicated against existing entries. No new older local warning promoted this run."
2026-09-19T01:05:58Z,all,primary_document_recovery,In progress,"Official IDF reconstruction added institutional context on Gaza-envelope readiness-squad weapons/radios and the low assessed probability of a settlement raid, but no distinct pre-Oct. 7 warning-to-recipient event was established; carry to Lane 6."
