run_utc,period,lane,status,progress,gaps
2026-09-18T07:21:00Z,2022-12-29..2022-12-31,local_emergency,In progress,"Targeted transition-period sweep across local authorities emergency/security coordinators and civil preparedness sources found no new qualifying direct warning in this short period.","Continue archival municipal correspondence emergency-body minutes and later-released delivery evidence."
2026-09-18T07:21:00Z,2023-01,local_emergency,In progress,"Tracked 10 Jan Jerusalem-envelope security-coordinator warning that a replacement local-security model risked failure and danger to life. Warning content is substantial.","Direct receipt by a serving 2023 minister or qualifying senior decision-maker remains unproven."
2026-09-18T07:21:00Z,2023-02,local_emergency,In progress,"Targeted Gaza-envelope/local-authority/emergency-professional search found no distinct new accepted warning with documented delivery.","Continue municipal letters council minutes and emergency/security coordinator correspondence."
2026-09-18T07:21:00Z,2023-03,local_emergency,In progress,"Northern-community protection warnings and local-authority pressure were rechecked. Existing WARN-64 already captures the 15 Mar delivered protection-funding warning; no duplicate created.","Continue lesser-known local warnings and direct-recipient records without double-counting repetitions."
2026-09-18T07:21:00Z,2023-04,local_emergency,In progress,"Tracked Davidi's 20 Apr direct meeting with Netanyahu demanding long-term security quiet and his 3 May contemporaneous warning that current Gaza policy harmed security and would exact a price.","Need exact meeting record or equivalent corroboration for the stronger May warning language and event-boundary decision before acceptance."
2026-09-18T07:21:00Z,2023-05,local_emergency,In progress / one acceptance,"Accepted WARN-79: by 30 May Sderot Mayor Alon Davidi warned that absence of a protected emergency-care facility created a life-or-death preparedness gap during Gaza attacks. Project had been omitted from the budget and a funding proposal rejected; funding was later secured on 7 Aug. Also tracked the 2 May rabbashatz powers/status letter to Gallant below threshold.","Original WARN-79 internal document date/addressee list remains unpublished; rabbashatz May2 requires original-letter recovery and scope assessment. Month not Complete."
2026-09-18T07:21:00Z,2023-06,local_emergency,In progress,"Targeted local-security/emergency-professional sweep found no new distinct accepted event this pass.","Continue local equipment manpower shelter medical-readiness and security-coordinator correspondence with recipient proof."
2026-09-18T07:21:00Z,2023-07,local_emergency,In progress,"Tracked Giora Zaltz's 30 Jul warning that excluding northern local leaders from security planning could carry a heavy price and harm home-front readiness for a prolonged military event.","Named-recipient delivery/receipt remains unresolved."
2026-09-18T07:21:00Z,2023-08,local_emergency,In progress,"Recovered response evidence for WARN-79: on 7 Aug funding was allocated after Davidi's approach; this strengthens the receipt/response chain but is not a separate warning event.","Continue implementation and operational-readiness records; avoid counting response milestones as warnings."
2026-09-18T07:21:00Z,2023-09,local_emergency,In progress,"Tracked a later Israel Gantz claim that local leaders warned roughly three weeks pre-Oct7 that the threat was war rather than lone-wolf terrorism.","Retrospective claim only; recipient unnamed and contemporaneous corroboration absent, so held below acceptance."
2026-09-18T07:21:00Z,2023-10-01..2023-10-06,local_emergency,In progress,"Targeted final-week local/emergency sweep found no additional qualifying delivered warning. Strict pre-Oct7 warning-event cutoff preserved.","Continue later-released documents/testimony that can establish a warning event before the cutoff."
2026-09-18T07:21:00Z,pre-2022-12-29,older_inherited_warnings,In progress,"Historic rabbashatz/local-protection chains were checked for demonstrable repetition or inherited knowledge reaching 2023 officeholders. No new older warning accepted this run.","Continue only where delivery repetition or inherited knowledge to serving 2023 officeholders can be proved; no arbitrary historical floor."
2026-09-18T07:21:00Z,2022-12-29..2023-10-06,local_emergency_lane,In progress / one acceptance,"Lane 5 rotation produced one new accepted warning: WARN-79, Sderot's protected-emergency-room life-or-death preparedness warning. Multiple local/rabbashatz chains remain unresolved because delivery or original-warning evidence is incomplete. No month marked Complete.","Major gaps: original May2 rabbashatz letter/scope; direct receipt for Zaltz Jul30; exact delivered wording/event boundary for Davidi Apr20-May3; contemporaneous corroboration of Israel Gantz September claim. Next rotating deep lane: Lane 6 — documentary recovery and historical blind-spot sweep."
