run_utc,period,lane,status,notes
2026-09-19T15:17:00Z,2022-12-29..2022-12-31,idf_mi_southern_gaza_surveillance_reserve,In progress,"Targeted military/intelligence sweep found no additional distinct warning crossing threshold; existing late-Dec readiness material remains represented."
2026-09-19T15:17:00Z,2023-01,idf_mi_southern_gaza_surveillance_reserve,In progress,"WARN-119 falls within a broad Jan-Sep range because the exact Northern Command study-day date is unpublished; do not mark January complete."
2026-09-19T15:17:00Z,2023-02,idf_mi_southern_gaza_surveillance_reserve,In progress,"No additional distinct qualifying warning recovered in targeted Lane 1 search."
2026-09-19T15:17:00Z,2023-03,idf_mi_southern_gaza_surveillance_reserve,In progress,"Existing Zini/Gaza Division readiness and Saar/MI warning chains were rechecked and deduped; no additional distinct unit required."
2026-09-19T15:17:00Z,2023-04,idf_mi_southern_gaza_surveillance_reserve,In progress,"WARN-11 already represents MI's Apr. 12 'war closer than calm' warning; named political recipient/forum remains unresolved. Existing Unit 8200 warning chain deduped."
2026-09-19T15:17:00Z,2023-05,idf_mi_southern_gaza_surveillance_reserve,In progress,"Existing Jericho Wall / Unit 8200 exercise-warning chain reviewed; no new distinct qualifying recipient event. May SIM anomaly still lacks senior receipt."
2026-09-19T15:17:00Z,2023-06,idf_mi_southern_gaza_surveillance_reserve,In progress,"Existing Gaza Division mass-invasion / hostage-estimate documentation remains represented; no new distinct recipient event crossed threshold."
2026-09-19T15:17:00Z,2023-07,idf_mi_southern_gaza_surveillance_reserve,In progress,"Existing Unit 8200, Gaza Division, Saar and Haliva-related July warning units were rechecked and deduped; no new distinct July unit."
2026-09-19T15:17:00Z,2023-08,idf_mi_southern_gaza_surveillance_reserve,In progress,"Targeted Lane 1 sweep produced no additional accepted military/intelligence warning for August."
2026-09-19T15:17:00Z,2023-09,idf_mi_southern_gaza_surveillance_reserve,In progress,"Existing late-September Devil's Advocate and other military warning entries remain represented; no new distinct unit crossed threshold."
2026-09-19T15:17:00Z,2023-10-01..2023-10-06,idf_mi_southern_gaza_surveillance_reserve,In progress,"Oct. 3 observers-drill warning remains unresolved on named senior receipt; Oct. 6 internal alerts remain below qualifying receipt threshold."
2026-09-19T15:17:00Z,pre-2022-12-29,older_inherited_warnings,In progress,"New older lead: IDF-hosted professional analysis says former 91st Division commander Shlomi Binder warned army commanders that routine northern defenses could not withstand a significant surprise attack. Exact date/recipient and contemporaneous evidence remain unresolved; not accepted."
2026-09-19T15:17:00Z,all,idf_mi_southern_gaza_surveillance_reserve,In progress,"Lane 1 completed for this rotation: 1 new Accepted (WARN-119), one older unresolved Binder lead, no month marked Complete. Next deep lane: Lane 2 — Shin Bet / Mossad / NSC / police / Home Front / other Israeli professional security bodies."
