run_utc,period,lane,status,notes
2026-09-19T22:22:00Z,2022-12-29..2022-12-31,2,In progress,"Targeted Shin Bet/Mossad/NSC/police/Home Front sweep; no new distinct qualifying current-government warning crossed threshold."
2026-09-19T22:22:00Z,2023-01,2,In progress,"Security-institution warning material around Jerusalem/Temple Mount and internal-security preparedness searched and reconciled against existing accepted entries; no new distinct event."
2026-09-19T22:22:00Z,2023-02,2,In progress,"Ronen Bar/East Jerusalem and police-escalation chains rechecked; existing accepted entries control."
2026-09-19T22:22:00Z,2023-03,2,In progress,"Shin Bet/police/internal-security warning cluster rechecked; MAR23 joint-warning candidate remains unresolved and high-dedupe-risk."
2026-09-19T22:22:00Z,2023-04,2,In progress,"BAR-APR23-DETERRENCE unresolved-first search repeated; exact date/forum/named recipient still missing. Existing National Guard/police warnings deduped."
2026-09-19T22:22:00Z,2023-05,2,In progress,"Targeted other-security-institution discovery and reconciliation; no new distinct threshold-crossing event."
2026-09-19T22:22:00Z,2023-06,2,In progress,"Police/Shin Bet/internal-security preparedness material rechecked against published police multi-front and institutional-capacity warnings; no duplicate created."
2026-09-19T22:22:00Z,2023-07,2,In progress,"Shin Bet strategic/deterrence warning chains re-audited against existing Bar and police entries; no new distinct event."
2026-09-19T22:22:00Z,2023-08,2,In progress,"WARN-123 accepted: 22 Aug Ronen Bar warning to Security Cabinet that prison overcrowding was already constraining counterterror arrests and Amendment 62 could further impair arrest capacity. Contrary IPS planning assessment preserved."
2026-09-19T22:22:00Z,2023-09,2,In progress,"Security-prisoner/High-Holiday escalation warnings searched; 1 Sep material retained as corroboration/context to existing WARN-30 rather than duplicated. Existing Temple Mount, High-Holiday and Gaza-readiness chains reconciled."
2026-09-19T22:22:00Z,2023-10-01..2023-10-06,2,In progress,"Pre-Oct-7 Shin Bet warning chains rechecked; existing Oct. 1 Sinwar/Hamas entries remain controlling. Signals from 7 Oct itself remain excluded by temporal rule."
2026-09-19T22:22:00Z,OLDER,2,In progress,"Targeted 2021-2022 police/Shin Bet/Home Front blind-spot sweep recovered the 2022 State Comptroller Guardian-of-the-Walls preparedness findings, but no new direct delivery/repetition to serving 2023 officeholders sufficient for a distinct accepted event. Existing older chains remain deduped."
2026-09-19T22:22:00Z,ALL,2,In progress,"Lane 2 completed for this rotation. 1 new Accepted warning (WARN-123); accepted total 122. No month marked Complete. Next deep lane: 3 — foreign governments, diplomats, foreign intelligence/security services and regional partners."
