run_utc,period,lane,status,progress,gaps
2026-09-18T01:07:46Z,2022-12-29..2022-12-31,local_emergency_civil,In progress,"Targeted local-authority/emergency sweep found no new qualifying event in the final three days of 2022.","Do not mark No results: local archives, emergency-coordinator correspondence and later-released material remain unswept."
2026-09-18T01:07:46Z,2023-01,local_emergency_civil,In progress / one acceptance,"Accepted WARN-63: Ashkelon Mayor Tomer Glam directly warned Netanyahu, Gallant and Smotrich on Jan 27 that roughly 40,000 residents lacked adequate protected space and that a broader, more dangerous next campaign made comprehensive protection life-saving. Ramat Negev Jan 22 basic-security letter remains scope-check unresolved.","Continue municipal correspondence, Gaza-border authority records and emergency-professional archives."
2026-09-18T01:07:46Z,2023-02,local_emergency_civil,In progress,"Targeted local/emergency/civil-professional sweep produced no new accepted event this rotation.","Continue local council minutes, regional-security coordinators, Home Front liaison records and Hebrew local media."
2026-09-18T01:07:46Z,2023-03,local_emergency_civil,In progress / one acceptance,"Accepted WARN-64: northern-border mayors and Confrontation Line Forum warned that Shield of the North cuts left thousands exposed to Hezbollah-related risk; Defense Ministry gave a contemporaneous substantive response.","Private/direct receipt to Gallant personally remains unrecovered; other March local warnings remain open."
2026-09-18T01:07:46Z,2023-04,local_emergency_civil,In progress,"Apr 6 Confrontation Line Forum repeat warning after Lebanon rocket fire was attached to WARN-64 rather than double-counted. Apr 9 reporting showed some northern local heads were excluded from senior calls, so no receipt can be inferred from publicity.","Recover direct letters/meeting records and determine whether Apr 6 was a distinct delivery event."
2026-09-18T01:07:46Z,2023-05,local_emergency_civil,In progress,"Existing Gaza-envelope emergency-team-chair warning to Netanyahu remains canonical and was not duplicated. May 2 rabbashatz authority/employment warning to Gallant was strengthened by a 2026 State Comptroller audit showing structural conditions impaired coordinators' ability to perform their security role.","Need original May 2 letter/full contemporaneous security-risk wording before deciding whether it qualifies as a distinct major-preparedness warning."
2026-09-18T01:07:46Z,2023-06,local_emergency_civil,In progress,"Targeted local/emergency sweep found no new Lane-5 acceptance this rotation.","Continue municipal emergency exercises, civilian-security coordinator records and infrastructure/emergency bodies."
2026-09-18T01:07:46Z,2023-07,local_emergency_civil,In progress,"Upper Galilee head Giora Zaltz publicly warned Jul 30 that excluding local authorities from scenario planning/information sharing harmed home-front preparedness for future days of battle or prolonged conflict.","Direct receipt by the prime minister, chief of staff or Northern Command remains unproven; publicity alone is insufficient."
2026-09-18T01:07:46Z,2023-08,local_emergency_civil,In progress,"Targeted local/emergency/civil-professional sweep produced no new accepted August event this rotation.","Continue Gaza-border and northern-border council records, local security forums and emergency-infrastructure correspondence."
2026-09-18T01:07:46Z,2023-09,local_emergency_civil,In progress,"No new September Lane-5 event met both warning-content and recipient thresholds in this rotation.","Prioritize later-released local authority testimony, Gaza-envelope security coordinator records and primary correspondence."
2026-09-18T01:07:46Z,2023-10-01..2023-10-06,local_emergency_civil,In progress,"Strict cutoff preserved; no new accepted local/emergency warning event found for Oct 1–6 in this rotation.","Do not mark No results: inquiry testimony and later-released local records may establish preattack warning chains."
2026-09-18T01:07:46Z,pre-2022-12-29,older_inherited_warnings,In progress,"Followed older northern civilian-protection/Shield of the North chain. Earlier Knesset and government records establish longstanding documented protection gaps, but no additional older warning to 2023 officeholders was accepted this run.","Continue tracing older warnings only where inherited knowledge, repetition or delivery to current officeholders can be documented."
2026-09-18T01:07:46Z,2022-12-29..2023-10-06,local_emergency_civil_lane,In progress,"Lane 5 month-by-month rotation completed with two new accepted warnings: WARN-63 (Ashkelon civilian protection) and WARN-64 (northern-border protection). One repeated northern warning was deduped; rabbashatz and Zaltz leads remain unresolved. No month marked Complete.","Major gaps: original municipal/security correspondence, named receipt records, local emergency exercises, Gaza-border coordinator material and later-released inquiry evidence. Next rotating deep lane: Lane 6 — documentary recovery + historical blind-spot sweep."
