run_utc,period,lane,status,notes
2026-09-19T07:08:43Z,2022-12-29..2022-12-31,local_emergency_civil,In progress,"Targeted local/emergency sweep found no distinct warning in the final 2022 days with documented delivery to a qualifying serving-government or senior-security recipient. Keep specialist/local archives open."
2026-09-19T07:08:43Z,2023-01,local_emergency_civil,In progress,"Existing Ashkelon protection warning already accepted; no additional distinct local/emergency event crossing threshold after dedupe."
2026-09-19T07:08:43Z,2023-02,local_emergency_civil,In progress,"No additional local/emergency-origin warning with documented qualifying receipt was established in this pass."
2026-09-19T07:08:43Z,2023-03,local_emergency_civil,In progress,"Existing northern-protection and Judea/Samaria local-authority warnings remain represented; no new distinct event crossed threshold."
2026-09-19T07:08:43Z,2023-04,local_emergency_civil,In progress,"Rechecked Apr. 9 Netanyahu calls with Gaza-envelope/northern local heads and Apr. 20 Sderot meeting. Urgent protection/shelter requests and direct PMO contact are documented, but warning content overlaps accepted protection/readiness entries; retained as corroboration rather than duplicates."
2026-09-19T07:08:43Z,2023-05,local_emergency_civil,In progress,"Existing Gaza-envelope and Sderot readiness/protection warnings remain represented; no additional distinct qualifying local warning found after dedupe."
2026-09-19T07:08:43Z,2023-06,local_emergency_civil,In progress,"No new local/emergency-origin acceptance. Existing police national-capacity warning is already represented in Notion; stale candidate-state references should not generate a duplicate."
2026-09-19T07:08:43Z,2023-07,local_emergency_civil,In progress,"Existing Jul. 14 northern-local-leader warning to Northern Command remains accepted. Giora Zaltz Jul. 30 remains receipt-unresolved; public address alone is insufficient."
2026-09-19T07:08:43Z,2023-08,local_emergency_civil,In progress,"Existing northern-border protection warning remains represented. No additional distinct local/emergency warning with documented qualifying receipt crossed threshold."
2026-09-19T07:08:43Z,2023-09,local_emergency_civil,In progress,"Existing Sep. 23 Gadi Yarkoni warning to Gaza Division remains represented. Targeted Gaza-border/security-coordinator search found no additional 2023 local warning meeting receipt and corroboration thresholds."
2026-09-19T07:08:43Z,2023-10-01..2023-10-06,local_emergency_civil,In progress,"No distinct local/emergency-origin pre-attack warning with qualifying documented receipt surfaced for Oct. 1-6."
2026-09-19T07:08:43Z,pre-2022-12-29,older_inherited_warnings,In progress,"Recovered Bini Kfir/Tkuma retrospective account of repeated warnings after local standby-squad rifles were removed. Strong underlying readiness relevance, but the warning-delivery claim is still first-person retrospective and lacks a contemporaneous letter/named-recipient corroboration; retained for documentary recovery, not accepted."
2026-09-19T07:08:43Z,all,local_emergency_civil,In progress,"Lane 5 completed for this rotation with no new accepted warning. May 2026 State Comptroller report materially strengthens the historical documentary record on longstanding ravshatz/standby-squad command, employment and communications gaps, but does not itself prove a distinct 2023 warning to current officeholders. Next deep lane: Lane 6 — documentary recovery and historical blind spots."
