run_utc,candidate_id,period,status,warning_source,recipient,progress,gaps
2026-09-18T05:08:17Z,WARN-71,2023-01-29,Accepted / Notion WARN-71,Emmanuel Macron / President of France,Benjamin Netanyahu,"Official Élysée call readout directly records Macron warning Netanyahu, amid rising tensions, to avoid measures liable to feed a spiral of violence. High confidence / contemporaneous / general strategic / internal-security degradation + regional-war risk.","Not a Hamas-specific warning; no discrete Israeli response attributable to this warning is documented in the readout."
2026-09-18T05:08:17Z,WARN-72,2023-02-02,Accepted / Notion WARN-72,Emmanuel Macron / President of France,Benjamin Netanyahu,"Official Élysée work-dinner readout records Macron again warning Netanyahu to avoid measures that could intensify the spiral of violence. Kept distinct from Jan 29 because it was a separate direct meeting amid continued deterioration. High confidence / contemporaneous / general strategic.","Not a Hamas-specific warning; no discrete Israeli response attributable to this warning is documented."
2026-09-18T05:08:17Z,WARN-73,2023-03-24,Accepted / Notion WARN-73,Rishi Sunak / UK Prime Minister,Benjamin Netanyahu,"Official UK PMO readout says Sunak raised international concern about growing West Bank tensions and urged de-escalation, especially ahead of religious holidays. High confidence / contemporaneous / general strategic / internal-security degradation.","No specific Israeli step is established as a response; not a Hamas-attack forecast."
2026-09-18T05:08:17Z,WARN-74,2023-04-03,Accepted / Notion WARN-74,Catherine Colonna / French Foreign Minister,Eli Cohen,"Official French Foreign Ministry call readout records Colonna warning Cohen amid deteriorating West Bank conditions and rising Jerusalem tensions, urging restraint from unilateral measures and adherence to Aqaba/Sharm commitments. High confidence / contemporaneous / general strategic.","No discrete Israeli response attributable to the call is established; not a Hamas-specific warning."
2026-09-18T05:08:17Z,WARN-75,2023-09-11,Accepted / Notion WARN-75,James Cleverly / UK Foreign Secretary,"Benjamin Netanyahu; Eli Cohen","Two official UK readouts document Cleverly warning Netanyahu and Cohen during the same visit that heightened tensions required meaningful de-escalation, including action on settler violence. Treated as one event with multiple recipients to avoid same-day double counting. High confidence / contemporaneous / general strategic.","No specific Israeli policy/operational response attributable to the warning is documented; not a Hamas-specific warning."
2026-09-18T05:08:17Z,WARN-76 / EGYPT-KAMEL-NETANYAHU-LATESEP-2023,2023-09-27,Accepted / Notion WARN-76,Abbas Kamel / Egyptian General Intelligence,Benjamin Netanyahu,"Promoted after triangulating the immediate 9 Oct 2023 Ynet/Yedioth report of a direct Kamel warning, a separate Egyptian-intelligence account that Egypt repeatedly warned Israel of something big, Michael McCaul's post-classified-briefing confirmation that an Egyptian warning was given, and Sep 2026 investigative reconstruction. Medium confidence / retrospective / moderately specific / Hamas attack.","PMO categorically denies any Kamel-Netanyahu contact or warning. No call record, transcript or Egyptian official confirmation naming Netanyahu is public. The separate approximately Oct 4 Egyptian warning remains unresolved and is not merged."
2026-09-18T05:08:17Z,EGYPT-OCT4-2023-ISRAELI-OFFICIALS,2023-10-04,Strong candidate / recipient level unresolved,Egyptian government/intelligence,Israeli officials; exact level unresolved,"Rechecked Michael McCaul's statement after a classified US briefing that Egypt warned Israel roughly three days before Oct 7 and that a warning was given. This remains distinct from newly accepted WARN-76 because McCaul explicitly said the recipient level was unclear.","Need primary US briefing record or Egyptian/Israeli documentation identifying the recipient and exact content. Do not infer Netanyahu receipt."
2026-09-18T05:08:17Z,MUNICH-GROUP-MAY11-2023,2023-05-11,Investigating / recipient unresolved,"France Germany Egypt Jordan foreign ministers / Munich Group","Israeli government recipient unresolved","Joint ministerial warning described deteriorating security and the need to prevent a major conflagration. Strong warning content, but current evidence is a public diplomatic statement rather than documented delivery to a named qualifying Israeli decision-maker.","Recover direct transmission, meeting or diplomatic-delivery evidence before acceptance."
2026-09-18T05:08:17Z,CLEVERLY-COHEN-MAR21-2023,2023-03-21,Below acceptance threshold / contextual,James Cleverly / UK Foreign Secretary,Eli Cohen,"Official UK readout records the ministers mutually agreeing on the need to de-escalate tensions and uphold holy-site status quo; the pre-meeting release says Cleverly would raise concern over the spike in violence.","Current final readout is framed as mutual agreement rather than a distinct one-way warning. Hold unless stronger meeting wording or delivery evidence emerges."
2026-09-18T05:08:17Z,UAE-MBZ-ENVOY-2023,2023 exact date unresolved,Investigating / possible related chain,Mohammed bin Zayed / UAE via reported special envoy,Benjamin Netanyahu,"A retrospective Isaac Herzog account reported that MBZ repeatedly conveyed that the situation needed defusing and sent a special envoy who met Netanyahu because the area was near an explosion. Potentially separate from WARN-5 but currently too undated and too overlapping to split.","Need envoy identity, date, contemporaneous meeting record and evidence that this was a distinct warning rather than part of the WARN-5 chain."
