run_utc,period,lane,status,notes
2026-09-19T00:08:22Z,2022-12-29..2022-12-31,experts_research,In progress,"Targeted expert/think-tank sweep found no new qualifying direct warning in this short period; specialist archives remain open."
2026-09-19T00:08:22Z,2023-01,experts_research,In progress,"Rechecked INSS 2023 Strategic Assessment. Strong warning content, but documented presentation was to President Herzog; no distinct qualifying current-government/security recipient recovered."
2026-09-19T00:08:22Z,2023-02,experts_research,In progress,"No new expert-origin warning with documented qualifying receipt found."
2026-09-19T00:08:22Z,2023-03,experts_research,In progress,"Rechecked INSS March 21 strategic alert and Amos Yadlin March 23 warning. Both have strong contemporaneous content; no event-specific qualifying recipient proof recovered."
2026-09-19T00:08:22Z,2023-04,experts_research,In progress,"Rechecked JISS April 16 war warning and logged Amidror April 13 public war warning as context. No direct recipient proof recovered for either; no promotion."
2026-09-19T00:08:22Z,2023-05,experts_research,In progress,"Reichman/ICT multi-front preparedness material already represented by accepted WARN-80; no distinct expert event found."
2026-09-19T00:08:22Z,2023-06,experts_research,In progress,"No new qualifying expert-origin warning with documented receipt found."
2026-09-19T00:08:22Z,2023-07,experts_research,In progress,"INSS July 23 urgent readiness/deterrence alert reconfirmed from primary source; named government/security receipt still unproven."
2026-09-19T00:08:22Z,2023-08,experts_research,In progress,"Accepted Eiland Aug. 16 direct warning already covers strongest direct expert event. Carmon Aug. 31 warning content remains strong but recipient proof absent."
2026-09-19T00:08:22Z,2023-09,experts_research,In progress,"Carmon warning follow-up and expert/public materials rechecked; no new qualifying direct expert warning. Freshness separately strengthened the Sinwar intermediary chain without changing WARN-5 classification."
2026-09-19T00:08:22Z,2023-10-01..2023-10-06,experts_research,In progress,"No new expert-origin warning with qualifying recipient evidence found for Oct. 1-6."
2026-09-19T00:08:22Z,pre-2022-12-29,older_inherited_warnings,In progress,"Older expert/direct-adviser chains remain active. Existing older warning corpus and inherited-risk material were not duplicated; no newly documented repetition to current officeholders crossed threshold."
