run_utc,period,lane,status,notes
2026-09-19T14:11:24Z,2022-12-29..2022-12-31,document_recovery_historical_blindspots,In progress,"Targeted documentary sweep recovered no additional distinct qualifying event; the existing Dec. 30 police-readiness warning remains represented."
2026-09-19T14:11:24Z,2023-01,document_recovery_historical_blindspots,In progress,"No additional distinct warning crossed threshold in documentary recovery."
2026-09-19T14:11:24Z,2023-02,document_recovery_historical_blindspots,In progress,"No additional distinct warning crossed threshold in documentary recovery."
2026-09-19T14:11:24Z,2023-03,document_recovery_historical_blindspots,In progress,"Official-record sweep added historical corroboration but no new 2023 event; existing March warnings remain represented."
2026-09-19T14:11:24Z,2023-04,document_recovery_historical_blindspots,In progress,"The Apr. 12 MI warning that war was closer than calm remains strong contemporaneous evidence but only names the political echelon generically; named recipient/forum remains unresolved."
2026-09-19T14:11:24Z,2023-05,document_recovery_historical_blindspots,In progress,"No new primary recipient evidence recovered for the May SIM-anomaly lead or another distinct warning."
2026-09-19T14:11:24Z,2023-06,document_recovery_historical_blindspots,In progress,"Home Front / national-emergency June material remains below threshold for a distinct warning-to-recipient event."
2026-09-19T14:11:24Z,2023-07,document_recovery_historical_blindspots,In progress,"No additional primary-document upgrade requiring a new unit; existing July MI/Shin Bet warnings remain represented."
2026-09-19T14:11:24Z,2023-08,document_recovery_historical_blindspots,In progress,"Avi Gil Aug. 21 warning remains dependent on later testimony without sufficient independent recipient/content evidence."
2026-09-19T14:11:24Z,2023-09,document_recovery_historical_blindspots,In progress,"Freshness pass found no new evidentiary tier for already represented UAE/Sinwar-related warning chains; existing disputes remain preserved."
2026-09-19T14:11:24Z,2023-10-01..2023-10-06,document_recovery_historical_blindspots,In progress,"Oct. 3 observers-drill lead still lacks a named qualifying senior recipient; Egypt Oct. 4 still lacks documented recipient level; Oct. 6 unread/internal alerts remain below government-receipt threshold."
2026-09-19T14:11:24Z,pre-2022-12-29,older_inherited_warnings,In progress,"Two historical blind spots accepted: WARN-117 (23 Feb 2017 northern local/emergency preparedness warning; High, primary Knesset evidence) and WARN-118 (10 Sep 2017 Shin Bet Gaza deceptive-quiet/rearmament warning to Netanyahu/cabinet; Medium, strong contemporaneous secondary evidence). Mar. 20 and Dec. 24 2017 Argaman material retained as corroborating chain evidence/dedupe leads."
2026-09-19T14:11:24Z,all,document_recovery_historical_blindspots,In progress,"Lane 6 completed for this rotation: 2 new Accepted; unresolved candidates remain below threshold; no month marked Complete. Next deep lane: Lane 1 — IDF / Military Intelligence / Southern Command / Gaza Division / surveillance units / reserve-security professionals."
