period,source_lane,status,notes
2022-12-29..2022-12-31,experts_research,In progress,"Targeted search found no new distinct qualifying expert/research warning to a serving decision-maker in the government's first three days."
2023-01,experts_research,In progress,"INSS 2023 strategic assessment and related expert risk analysis rechecked; no new distinct qualifying government-receipt event identified."
2023-02,experts_research,In progress,"Targeted expert/research search found no new distinct qualifying government-receipt event."
2023-03,experts_research,In progress,"INSS 21 Mar strategic alert confirmed from primary contemporaneous source; receipt by a named serving decision-maker remains unresolved."
2023-04,experts_research,In progress,"Amidror 13 Apr war-preparation warning confirmed contemporaneously; no direct named serving-recipient delivery evidence located."
2023-05,experts_research,In progress,"Targeted expert/research search found no new distinct qualifying government-receipt event."
2023-06,experts_research,In progress,"Northern-border expert work and Hezbollah deterrence analysis checked; no separate June event crossed threshold."
2023-07,experts_research,In progress,"NEW ACCEPTED WARN-131: INSS 2 Jul Har Dov/Hezbollah deterrence warning; Israel Hayom contemporaneously documented distribution to decision-makers. INSS 23 Jul urgent alert remains receipt-unresolved."
2023-08,experts_research,In progress,"Eiland 16 Aug already canonical WARN-6. Carmon 31 Aug September–October war warning confirmed, but named serving-recipient receipt remains unresolved."
2023-09,experts_research,In progress,"Carmon follow-up/reporting and expert warnings rechecked; no additional distinct event with sufficient recipient evidence crossed threshold."
2023-10-01..2023-10-06,experts_research,In progress,"Targeted expert/research search found no new distinct qualifying warning to a serving decision-maker before Oct. 7."
pre-2022-12-29,older_inherited_warnings,In progress,"Older expert warning chains were followed without a fixed floor. No new older expert event with documented inheritance or redelivery to current officeholders crossed threshold."
