run_utc,period,lane,status,notes
2026-09-19T11:08:33Z,2022-12-29..2022-12-31,foreign_government_intelligence,In progress,"Targeted foreign-government/diplomatic sweep found no new distinct qualifying warning in the short late-December period; foreign archives and bilateral records remain open."
2026-09-19T11:08:33Z,2023-01,foreign_government_intelligence,In progress,"Existing Sisi, Jordanian, U.S., EU and other January foreign warning entries were audited for duplicates and recipient evidence; no new distinct event crossed threshold."
2026-09-19T11:08:33Z,2023-02,foreign_government_intelligence,In progress,"Existing Macron/Blinken and related February diplomatic-escalation warnings were audited; no new distinct qualifying event identified in this pass."
2026-09-19T11:08:33Z,2023-03,foreign_government_intelligence,In progress,"UK FCDO's 21 Mar contemporaneous readout directly documents Cohen participating in a discussion noting the need to de-escalate tensions and uphold Jerusalem holy-site status quo. Kept Investigating because it does not establish one-directional Cleverly→Cohen warning delivery. Existing Jordan/U.S./European warnings deduped."
2026-09-19T11:08:33Z,2023-04,foreign_government_intelligence,In progress,"Existing foreign-government escalation and regional-risk warnings were audited; no new distinct warning with sufficiently documented source→recipient delivery crossed threshold."
2026-09-19T11:08:33Z,2023-05,foreign_government_intelligence,In progress,"Existing Austin/Borrell and regional diplomatic warning material was audited; no new distinct foreign warning crossed threshold."
2026-09-19T11:08:33Z,2023-06,foreign_government_intelligence,In progress,"Existing U.S./foreign diplomatic warning material, including regional-escalation concerns, was audited; no new qualifying distinct event found."
2026-09-19T11:08:33Z,2023-07,foreign_government_intelligence,In progress,"Existing Biden/Austin and related foreign warnings were deduped; no new distinct qualifying foreign-government/intelligence warning surfaced."
2026-09-19T11:08:33Z,2023-08,foreign_government_intelligence,In progress,"Existing U.S. diplomatic warnings and regional-partner material were audited; no additional foreign warning with documented qualifying receipt crossed threshold."
2026-09-19T11:08:33Z,2023-09,foreign_government_intelligence,In progress,"Freshness audit materially qualified WARN-76: a senior U.S. participant in the congressional intelligence briefing said McCaul exaggerated and that the Egyptian warning discussed there was low-grade/non-concrete. PMO denial preserved; WARN-76 remains Medium because separate reporting on the Kamel→Netanyahu chain remains. UAE/Egypt duplicate retellings were not republished."
2026-09-19T11:08:33Z,2023-10-01..2023-10-06,foreign_government_intelligence,In progress,"Egypt Oct. 4 candidate remains unresolved and is weakened: McCaul said recipient level was unknown, while a senior U.S. briefing participant described the warning as low-grade/basic and non-concrete. No acceptance without recipient/content provenance."
2026-09-19T11:08:33Z,pre-2022-12-29,older_inherited_warnings,In progress,"Older foreign-government/intelligence chains were followed where relevant to inherited/repeated knowledge. No new distinct older warning crossed threshold this run; continue without a fixed historical floor."
2026-09-19T11:08:33Z,all,foreign_government_intelligence,In progress,"Lane 3 completed for this rotation. Zero new Accepted; canonical accepted total remains 114. WARN-76 was materially qualified, Egypt Oct. 4 remains unresolved/weakened, and the Mar. 21 UK FCDO event remains Investigating due to warning-directionality ambiguity. No month marked Complete. Next deep lane: Lane 4 — professional experts, academics, researchers, think tanks and nonpartisan expert organizations."
