run_utc,period,lane,status,notes
2026-09-19T19:15:06Z,2022-12-29..2022-12-31,5,In progress,"Targeted local-authority/emergency/civil-professional search; no new distinct warning with documented qualifying receipt recovered."
2026-09-19T19:15:06Z,2023-01,5,In progress,"Ashkelon protection-warning chain rechecked and deduped to existing WARN-63; no additional distinct event crossed threshold."
2026-09-19T19:15:06Z,2023-02,5,In progress,"Targeted Gaza-envelope/northern/local emergency search produced no additional distinct qualifying warning."
2026-09-19T19:15:06Z,2023-03,5,In progress,"Northern/local civilian-protection and readiness material reviewed against existing entries; no new distinct warning with qualifying receipt."
2026-09-19T19:15:06Z,2023-04,5,In progress,"20 Apr Gaza-envelope leaders' Netanyahu meeting and post-escalation emergency/security concerns reviewed; insufficiently distinct from existing units for a new entry."
2026-09-19T19:15:06Z,2023-05,5,In progress,"NEW WARN-121 accepted: Rahat mayor Atta Abu Mediam publicly appealed to Defense Minister Gallant that about 25,000 residents lacked protective space and requested 50 transportable shelters. Medium confidence; named addressee documented, personal reading/acknowledgment not recovered."
2026-09-19T19:15:06Z,2023-06,5,In progress,"Local/emergency/security-coordinator searches reviewed; no additional distinct qualifying event recovered."
2026-09-19T19:15:06Z,2023-07,5,In progress,"14 Jul northern local-leader warning to Northern Command deduped to WARN-107; northern protection-budget warning chains already represented."
2026-09-19T19:15:06Z,2023-08,5,In progress,"Targeted local-authority/emergency search produced no additional distinct qualifying warning in this pass."
2026-09-19T19:15:06Z,2023-09,5,In progress,"Gaza-border disorder/incendiary-balloon and local concern reporting reviewed; no new distinct named-recipient warning crossed threshold."
2026-09-19T19:15:06Z,2023-10-01..2023-10-06,5,In progress,"Tkuma 4 Oct written warning strongly establishes that the standby squad was effectively nonfunctional after weapon removal, but the contemporaneous document went to the local committee; alleged sector-brigade-commander receipt remains retrospective and uncorroborated, so candidate remains Investigating."
2026-09-19T19:15:06Z,OLDER,5,In progress,"Older Gaza-border fence/tunnel, standby-squad and northern civilian-protection warning chains were followed backward and deduped against existing accepted entries; no new older warning accepted this rotation."
2026-09-19T19:15:06Z,ALL,5,In progress,"Lane 5 completed for this rotation. One new accepted warning (WARN-121). No month marked Complete; gaps remain in obscure local correspondence, emergency-coordinator records and recipient acknowledgments."
