run_utc,period,lane,status,notes
2026-09-19T16:09:14Z,2022-12-29..2022-12-31,shinbet_mossad_nsc_police_homefront,In progress,"Targeted Lane 2 sweep found no additional distinct qualifying warning in this short period; keep open for primary/archival routes."
2026-09-19T16:09:14Z,2023-01,shinbet_mossad_nsc_police_homefront,In progress,"No new distinct qualifying Lane 2 warning recovered. Existing professional/security strategic material remains represented elsewhere; month not Complete."
2026-09-19T16:09:14Z,2023-02,shinbet_mossad_nsc_police_homefront,In progress,"Rechecked direct Shin Bet/government escalation warnings. BAR-FEB15 stale candidate reconciled to existing WARN-36; other February accepted units deduped. No new warning unit."
2026-09-19T16:09:14Z,2023-03,shinbet_mossad_nsc_police_homefront,In progress,"Existing WARN-28 direct Bar-to-Netanyahu 'dangerous place' warning and former-police Ramadan escalation warnings rechecked; no new distinct unit crossed threshold."
2026-09-19T16:09:14Z,2023-04,shinbet_mossad_nsc_police_homefront,In progress,"BAR-APR23-DETERRENCE strengthened with Bar's sworn affidavit plus his contemporaneous Apr. 2 public warning about domestic division and converging threats; exact April recommendation date/forum/named recipient still unresolved, so no new Accepted."
2026-09-19T16:09:14Z,2023-05,shinbet_mossad_nsc_police_homefront,In progress,"BAR-MAY21 stale candidate reconciled to existing WARN-16. PMO's contrary account remains preserved; no new distinct unit."
2026-09-19T16:09:14Z,2023-06,shinbet_mossad_nsc_police_homefront,In progress,"State cleanup reconciled former-police June 9 warning to WARN-7 and Bar's June 11 counterterror-resource warning to WARN-37; serving-police multi-front readiness warning remains represented as WARN-108. No new distinct unit."
2026-09-19T16:09:14Z,2023-07,shinbet_mossad_nsc_police_homefront,In progress,"Rechecked Bar strategic-war warning and July 31 Gaza threat-rise meeting. July 31 is already WARN-44, supported by Netanyahu's own 2026 release of meeting excerpts; no duplicate."
2026-09-19T16:09:14Z,2023-08,shinbet_mossad_nsc_police_homefront,In progress,"Existing Bar warning that extremist violence was fueling Palestinian terrorism remains represented; no additional distinct Lane 2 event recovered."
2026-09-19T16:09:14Z,2023-09,shinbet_mossad_nsc_police_homefront,In progress,"BAR-MIDSEP stale candidate reconciled/deduped into WARN-15. WARN-30 already represents the High-Holiday multi-front warning/readiness chain with later Shin Bet inquiry corroboration. No new distinct unit."
2026-09-19T16:09:14Z,2023-10-01..2023-10-06,shinbet_mossad_nsc_police_homefront,In progress,"OCT1 stale candidate reconciled to existing WARN-68 with PMO dispute preserved. Oct. 7 early-hours NSC/PMO alert allegations explicitly excluded by the strict pre-2023-10-07 temporal rule and additionally disputed by NSC."
2026-09-19T16:09:14Z,pre-2022-12-29,older_inherited_warnings,In progress,"Rechecked older Shin Bet/professional chains including Nadav Argaman and historical Hamas-financing/deterrence warnings already represented in Notion; no additional older Lane 2 warning crossed threshold this rotation."
2026-09-19T16:09:14Z,all,shinbet_mossad_nsc_police_homefront,In progress,"Lane 2 completed for this rotation: 0 new Accepted; major persistent-state reconciliation closed/deduped multiple stale candidates already published in Notion (WARN-7, WARN-16, WARN-36, WARN-37, WARN-44, WARN-15, WARN-68). BAR-APR23 remains unresolved. No month marked Complete. Next deep lane: Lane 3 — foreign governments, diplomats, foreign intelligence/security services, regional partners and official foreign warnings."
