run_utc,period,lane,status,progress,gaps
2026-09-17T22:15:00Z,2022-12-29..2022-12-31,other_israeli_security,In progress,"Targeted Lane-2 sweep found no separately dateable warning event in the final three days of 2022. The newly accepted WARN-49 warning chain begins after Ben Gvir took office on 29 Dec but its individual underlying briefing dates are not public.","Recover the earliest National Security Ministry/police situation-assessment records and presenter identities; do not mark No results or Complete."
2026-09-17T22:15:00Z,2023-01,other_israeli_security,In progress / Accepted WARN-49,"Accepted WARN-49: Ben Gvir contemporaneously acknowledged repeated professional situation assessments from the National Security Ministry, Israel Police, Border Police and IDF warning that a 'Guardian of the Walls 2' reference scenario was at the doorstep and required preparation. Response recorded as Partially acted.","Underlying minutes, individual briefers and exact briefing dates remain unavailable. Warning is multi-arena/internal-security preparedness, not an Oct. 7 invasion prediction."
2026-09-17T22:15:00Z,2023-02,other_israeli_security,In progress / unresolved lead,"Reworked the February Shin Bet Hamas-force-buildup assessment. No original assessment/distribution record recovered. Existing Feb 15 Bar-to-Ben-Gvir East Jerusalem escalation event remains already represented in the accepted library; no additional distinct event accepted.","Exact date, author, distribution and qualifying recipient of the Hamas force-buildup assessment remain missing."
2026-09-17T22:15:00Z,2023-03,other_israeli_security,In progress,"Rechecked Shin Bet, police, NSC and related March warning material against existing accepted deterrence/readiness chains. No additional distinct Lane-2 event crossed threshold.","Continue primary Shin Bet/police briefing records and named-recipient evidence for obscure institutional warnings."
2026-09-17T22:15:00Z,2023-04,other_israeli_security,In progress / unresolved lead,"Bar's April deterrence/perfect-storm warning chain remains supported by later sworn evidence but no exact contemporaneous meeting, forum or recipient record was recovered. No new event accepted.","Recover exact April date, recipient/forum and contemporaneous Shin Bet record or independent corroboration before acceptance."
2026-09-17T22:15:00Z,2023-05,other_israeli_security,In progress / disputed,"Rechecked the 21 May Bar-to-Netanyahu Gaza/Hamas meeting. Published accounts remain materially contradictory over whether Bar warned that a Gaza campaign was unavoidable or conveyed an assessment that Hamas was deterred and sought stability.","Primary minutes/transcript or authoritative inquiry finding required. Do not resolve from competing secondary accounts."
2026-09-17T22:15:00Z,2023-06,other_israeli_security,In progress / strong unresolved lead,"Recovered/strengthened the 6 Jun Israel Police readiness warning with the official Knesset record: Commissioner Kobi Shabtai said police manpower/resources were insufficient and that police could not contain a nationwide multi-arena event; Ops chief Sigal Bar Zvi warned another internal uprising could be stronger. June 11 Shin Bet resource-diversion warning is already accepted.","For the 6 Jun event, qualifying delivery to Ben Gvir, Netanyahu or another senior target recipient remains unproven; committee publicity does not establish receipt."
2026-09-17T22:15:00Z,2023-07,other_israeli_security,In progress,"Rechecked existing Ronen Bar July strategic-war warning, Shin Bet threat reporting and NSC/security-body material. No additional distinct Lane-2 event crossed threshold.","Continue contemporaneous records and reconciliation of later testimony with meeting/secure-call metadata."
2026-09-17T22:15:00Z,2023-08,other_israeli_security,In progress,"Rechecked accepted Bar Palestinian-escalation warning and contemporaneous Shin Bet operational disclosures, including Gaza-directed kidnapping/attack activity. These strengthen threat context but did not establish a new distinct warning delivered to a qualifying senior recipient.","Need explicit senior-recipient transmission for operational Shin Bet alerts; do not convert public disruption announcements into government warnings."
2026-09-17T22:15:00Z,2023-09,other_israeli_security,In progress,"Existing High Holiday/multi-front Shin Bet-IDF warning chain remains accepted and was rechecked. Shin Bet operational reports on C4 smuggling and recruited attack cells provide threat context but no new senior-recipient warning event. Sinwar/UAE intermediary and other backchannel claims remain unresolved/disputed.","Continue original Shin Bet/NSC meeting records, exact dates, recipient lists and backchannel provenance."
2026-09-17T22:15:00Z,2023-10-01..2023-10-06,other_israeli_security,In progress / disputed,"Rechecked the Oct. 1 Bar/Sinwar-strike warning chain. Later reports remain contested by PMO/contrary assessments and no primary meeting minutes were recovered. No new accepted event. Strict warning-event cutoff maintained through Oct. 6.","Recover Oct. 1 primary minutes/recommendation and preserve contrary assessment that Hamas sought stability; warnings first issued after midnight Oct. 7 remain out of scope."
2026-09-17T22:15:00Z,pre-2022-12-29,older_inherited_warnings,In progress,"Older Shin Bet strategic/Hamas policy chains and inherited institutional knowledge were rechecked for repetition or delivery to serving 2023 officeholders. No new older warning met the distinct-event/recipient threshold this run.","Continue without a fixed historical floor, but require documented inheritance, repetition or delivery to current decision-makers."
2026-09-17T22:15:00Z,2022-12-29..2023-10-06,other_israeli_security_lane,In progress,"Lane 2 month-by-month pass completed. One new warning accepted: WARN-49, repeated professional security assessments to Ben Gvir that a Guardian-of-the-Walls-2 scenario was approaching. June 6 police multi-arena-capacity warning was strengthened but remains recipient-unresolved. No month marked Complete.","Main gaps remain February Shin Bet force-buildup distribution, Bar April forum/recipient, June 6 qualifying recipient, Oct. 1 primary minutes, disputed foreign/backchannel chains, and obscure NSC/Mossad/Home Front records. Next rotating deep lane: Lane 3 — foreign governments/diplomats/foreign intelligence and regional partners."
