period,lane,status,result
2022-12-29..2022-12-31,2 other Israeli security,In progress,"Targeted Shin Bet/Mossad/NSC/police/Home Front search; no new distinct qualifying warning recovered."
2023-01,2 other Israeli security,In progress,"No new distinct recipient-documented Lane-2 warning beyond existing canonical records."
2023-02,2 other Israeli security,In progress,"Rechecked Bar→Ben Gvir East Jerusalem warning; already canonical WARN-36. No new distinct event."
2023-03,2 other Israeli security,In progress,"Rechecked Ronen Bar's 23 Mar warning to Netanyahu; already canonical. No new distinct event."
2023-04,2 other Israeli security,In progress,"BAR-APR23-DETERRENCE remains Investigating: sworn affidavit supports a serious warning/recommendation but exact April forum and named recipient remain unresolved."
2023-05,2 other Israeli security,In progress,"Rechecked Bar→Netanyahu Gaza-campaign warning and PMO contrary account; already canonical WARN-16 with dispute preserved."
2023-06,2 other Israeli security,In progress,"Rechecked serving-police multi-front capacity warning WARN-108, former chiefs' collapse warning WARN-7, and Bar resource-diversion warning WARN-37; no new distinct event."
2023-07,2 other Israeli security,In progress,"Rechecked Bar's July strategic war warning and Mossad/NSC lanes; existing events already canonical. NEMA July preparedness assessment retained as contrary/context evidence, not a warning."
2023-08,2 other Israeli security,In progress,"Rechecked Bar's Palestinian-escalation warnings, police/NSC and Home Front chains; no new distinct qualifying event."
2023-09,2 other Israeli security,In progress,"Rechecked WARN-15 mid-September Bar warning and Egyptian/Shin Bet relay. Added contrary official-context evidence from Netanyahu's State Comptroller response showing mixed senior assessments on Sep 12, Sep 21 and Oct 3. No duplicate created."
2023-10-01..2023-10-06,2 other Israeli security,In progress,"Rechecked Oct 1 Bar/Sinwar WARN-68 and Oct 3 contrary Shin Bet assessment. Oct 7 overnight alerts excluded by strict temporal rule. No new distinct pre-Oct-7 event."
pre-2022-12-29,2 other Israeli security / older,In progress,"Rechecked older Shin Bet/Mossad/Hamas-financing and inherited-risk chains; no additional separately redelivered current-government warning crossed threshold."
