run_utc,candidate_id,period,status,warning_source,recipient,progress,gaps
2026-09-17T08:22:16Z,WARN-18,2022-05,Accepted / new / Notion published,"Lt. Col. Y / Gaza Division intelligence","Maj. Gen. Eliezer Toledano; Brig. Gen. Nimrod Aloni; Southern Command and Gaza Division intelligence officers","IDF-hosted Dado Center reconstruction citing a 2022 Southern Command commander's-office record establishes a May 2022 Jericho Wall discussion. Toledano said a written surprise-attack plan was new and could signal a Hamas trend change, ordered deeper intelligence study and defensive-improvement work, and did not rule out Hamas intent to implement it. Published as WARN-18 / High.","Exact May date remains unknown. The plan was principally interpreted as longer-term force building rather than an imminent attack. Proposed defensive improvements were not fully implemented according to the later reconstruction."
2026-09-17T08:22:16Z,WARN-19,2022-05,Accepted / new / Notion published,"Lt. Col. Y / Gaza Division intelligence","Maj. Gen. Aharon Haliva / head of Military Intelligence","IDF-hosted Dado Center reconstruction explicitly says Lt. Col. Y separately presented Jericho Wall to Haliva in May 2022. The underlying plan was highly specific, though presented under the prevailing force-building interpretation. Published as WARN-19 / High.","Exact May date and a concrete operational response to this presentation remain unestablished. Do not characterize it as an imminent-attack warning."
2026-09-17T08:22:16Z,WARN-20,2022-07-27,Accepted / new / Notion published,"Brig. Gen. Yaron Finkelman / head of IDF Operations Division","Operations Department; Southern Command; Gaza Division; Military Intelligence participants","Document-based Ynet reporting reproduces the 27 Jul 2022 meeting summary: Finkelman treated Jericho Wall as a possible large Hamas offensive inside Israel, identified surprise under exercise cover, and ordered concrete planning for a mass raid and related defensive responses. Published as WARN-20 / High.","Public evidence does not establish completion of the full ordered follow-up program. It was a possible wartime scenario, not a dated Oct. 7 prediction."
2026-09-17T08:22:16Z,WARN-21,2023-03,Accepted / new / Notion published,"Maj. Gen. David Zini / external red-team review","Brig. Gen. Avi Rosenfeld and Gaza Division command staff","Released excerpts and corroborating records establish a March 2023 readiness warning that surprise raids could defeat local defenses and troops lacked concrete scenarios. Published as WARN-21 / High under the narrower documented scope of tactical surprise-raid/kidnapping readiness.","PMO later portrayed the report as resembling the Oct. 7 invasion, while Rosenfeld and officers familiar with it say it addressed limited raids/kidnapping rather than a mass invasion. Full report and implementation record remain unavailable."
2026-09-17T08:22:16Z,WARN-22,2023-07-06,Accepted / new / Notion published,"Unit 8200 veteran NCO V / Hamas specialist","Direct intelligence superiors and internal Gaza-arena intelligence email group","N12/Uvda reproduced the contemporaneous email exchange. V argued a large Hamas exercise made Jericho Wall a plausible operational plan and could precede a war; a senior recipient replied that the scenario was 'completely imaginary,' and V explicitly rejected that assessment. Published as WARN-22 / High.","Exact identities of all recipients remain partly classified. Reporting says the warning did not reach MI chief Aharon Haliva. No execution date was predicted."
2026-09-17T08:22:16Z,WARN-23,2023-07-10,Accepted / new / Notion published,"Unit 8200 NCO S","Gaza Division and Southern Command intelligence officers","N12 reproduced substantive portions of S's 10 Jul 2023 written report and its distribution. The report linked a large Hamas exercise to Jericho Wall and warned the plan was not merely theoretical. Published as WARN-23 / Medium.","Original classified report and named distribution list remain unavailable; recipient identities/ranks and downstream handling need primary confirmation."
2026-09-17T08:22:16Z,WARN-24,2023-08,Accepted / new / Notion published,"Maj. N / head of Gaza Division intelligence raid section","Lt. Col. A / Gaza Division intelligence officer; Gaza Division intelligence staff","N12 document-based reporting establishes a separate August 2023 analysis synthesizing Hamas exercises against Jericho Wall, explicitly challenging the division's assumptions and proposing execution indicators. The division intelligence officer later discussed and rejected the broad scenario. Published as WARN-24 / High.","Exact August date and full distribution list remain unavailable. Keep distinct from WARN-22/23 because this was a separate Gaza Division analytical product and handling event."
2026-09-17T08:22:16Z,KOCHAVI-MAY2022-JERICHO-DIRECT,2022-05,Disputed,"Gaza Division intelligence / alleged direct Jericho Wall delivery","Then-IDF Chief of Staff Aviv Kochavi","N12 has reported an alleged direct email/document route to Kochavi, but the IDF-hosted Dado Center reconstruction explicitly states Jericho Wall was not presented to the chief of staff. Kochavi has denied receiving the plan. Not accepted.","Recover contemporaneous email metadata, distribution logs, chief-of-staff office records or an authoritative inquiry finding resolving the contradiction."
2026-09-17T08:22:16Z,GAZA-DIVISION-JUL25-2022-RAID-THREAT,2022-07-25,Investigating / likely related chain,"Gaza Division intelligence","Distribution / senior recipient unresolved","Document-based reporting describes a 25 Jul 2022 Gaza Division product on the Hamas raid threat, including multiple simultaneous raiding companies and combined ground/air/sea/fire components. It may be an important precursor to the 27 Jul Finkelman event.","Recover original distribution list and named recipient receipt. Resolve whether this is a distinct warning event or source material for WARN-20 before publishing separately."
2026-09-17T08:22:16Z,NCO-V-LATE-WARNING-SWORD,2023-09..2023-10-06,Investigating / possible distinct event,"Unit 8200 NCO V","Multiple intelligence officers including Gaza Division intelligence chain","N12 later reproduced a further pre-Oct. 7 email in which V reportedly warned that Jericho Wall was operational/trained, warning time could be insufficient and Hamas was determined. It may materially strengthen the warning chain.","Exact warning date and full metadata/distribution remain unresolved. Determine whether this is a distinct warning event or later evidence/continuation of WARN-22 before creating another entry."
