period,lane,status,update
2022-12-29..2022-12-31,foreign_government_intelligence,In progress,"Targeted foreign-government/intelligence search found no new distinct qualifying warning in the first three days of the government; keep open."
2023-01,foreign_government_intelligence,In progress,"Rechecked Sisi, Jordan, U.S., EU, France and CIA warning chains; qualifying events are already canonical as WARN-39, WARN-110, WARN-52, WARN-53, WARN-54, WARN-40, WARN-41, WARN-71 and WARN-50. No duplicate created."
2023-02,foreign_government_intelligence,In progress,"Rechecked Macron/Blinken and related de-escalation diplomacy; canonical WARN-72 and WARN-51 cover qualifying direct warnings. No new distinct event crossed threshold."
2023-03,foreign_government_intelligence,In progress,"Rechecked U.S., German, Jordanian, UAE and UK warning chains. Canonical records cover Austin/Scholz/Biden/Jordan/UAE/Sunak; WARN-115 remains Investigating because the UK readout documents bilateral agreement, not clear warning directionality."
2023-04,foreign_government_intelligence,In progress,"Rechecked French/U.S./regional escalation warnings; canonical WARN-74 and WARN-56 cover qualifying direct warnings. No new distinct foreign-intelligence warning found."
2023-05,foreign_government_intelligence,In progress,"Rechecked EU/U.S. Gaza-escalation diplomacy; WARN-57, WARN-96 and WARN-127 already cover qualifying direct warnings. No new distinct event."
2023-06,foreign_government_intelligence,In progress,"Rechecked U.S./regional partner warnings; WARN-58 already covers the direct Sullivan→Hanegbi escalation warning. No new distinct qualifying event found."
2023-07,foreign_government_intelligence,In progress,"Rechecked U.S./Jordan/regional partner reporting; WARN-59 and WARN-60 cover qualifying direct warnings. No additional direct foreign warning crossed threshold."
2023-08,foreign_government_intelligence,In progress,"Rechecked U.S./regional-partner and foreign-intelligence reporting; WARN-83 covers the direct UN/U.S. de-escalation warning. No new distinct qualifying event found."
2023-09,foreign_government_intelligence,In progress,"Reconciled late-Sep Kamel candidate to canonical Accepted WARN-76; canonical WARN-8 tracks the Egypt→Shin Bet 'tremble' relay; WARN-5 remains Disputed after conflicting UAE/PMO evidence. Mid-Sep Foreign Ministry/NSC Egyptian claim remains disputed; intermediary chain remains incorporated into WARN-15. No new Accepted event."
2023-10-01..2023-10-06,foreign_government_intelligence,In progress,"Jordan's 4 Oct formal diplomatic escalation warning is already canonical WARN-112. The separate Egypt ~4 Oct / three-days-before claim remains Investigating because recipient level is unresolved and no primary briefing/receipt record surfaced."
pre-2022-12-29,older_inherited_warnings,In progress,"Rechecked older foreign warning chains, especially Egypt/Qatar/Hamas funding and force-building. WARN-124 already represents the defensible 2018 Egyptian warning to Netanyahu; no additional distinct older foreign warning with sufficiently documented 2023 inheritance/redelivery was found."
