run_utc,period,lane,status,progress,gaps
2026-09-18T06:19:00Z,2022-12-29..2022-12-31,experts_research,In progress,"Targeted transition-period search across major Israeli security institutes and professional expert channels found no new qualifying direct warning in this short period.","Continue archival briefings correspondence and later-released evidence establishing named-recipient delivery."
2026-09-18T06:19:00Z,2023-01,experts_research,In progress,"Rechecked early-2023 INSS strategic assessment material including warnings about polarization and regional security deterioration. No new direct named-recipient expert warning met the threshold.","Public expert publications do not establish delivery; seek briefings to cabinet PMO NSC and security leadership."
2026-09-18T06:19:00Z,2023-02,experts_research,In progress,"Searched professional/academic security warnings and former-security expert material. No distinct new accepted event with documented delivery established.","Continue think-tank briefings former-security correspondence and closed professional forums."
2026-09-18T06:19:00Z,2023-03,experts_research,In progress,"Tracked INSS 21 Mar first-ever urgent strategic alert warning that the internal crisis could seriously harm IDF functioning operational capability resilience and ability to face enemies. Warning content is strong and contemporaneous.","Direct delivery/receipt by a named qualifying government or senior security decision-maker remains unproven; hold below acceptance."
2026-09-18T06:19:00Z,2023-04,experts_research,In progress,"Tracked JISS red-flag analysis IDSF 16 Apr multi-front warning and public warnings by former MI chief/INSS director Tamir Hayman and former NSC head Yaakov Amidror. No new accepted event because named-recipient delivery was not established.","Recover original briefing records letters meetings or correspondence tying these warnings to serving decision-makers."
2026-09-18T06:19:00Z,2023-05,experts_research,In progress,"Searched professional institute and former-security analysis around multi-front escalation Iran Hezbollah Hamas and readiness. No distinct qualifying delivered warning accepted this pass.","Continue direct-delivery evidence rather than counting public commentary."
2026-09-18T06:19:00Z,2023-06,experts_research,In progress,"Targeted expert/think-tank and professional-security material produced no new accepted direct warning event.","Sparse delivery records remain the main gap."
2026-09-18T06:19:00Z,2023-07,experts_research,In progress / one acceptance,"Accepted WARN-78: 800 former Shin Bet personnel directly warned Netanyahu and Gallant on 16 Jul of a real clear and immediate national-security danger and urged preservation of the people’s army. Also tracked INSS 23 Jul readiness/deterrence alert; direct named-recipient delivery remains unresolved.","Continue distinguishing professional-security veterans from political-party origin and recover direct delivery for public institute alerts."
2026-09-18T06:19:00Z,2023-08,experts_research,In progress,"Existing WARN-6 Giora Eiland direct Aug 16 warning rechecked and not duplicated. Added Avi Gil Aug 21 briefing as a strong unresolved candidate because the meeting is contemporaneously documented but exact warning content currently relies mainly on Lapid’s retrospective testimony. Brik Aug 7 public readiness warning remains delivery-unresolved.","Need Gil transcript/briefing materials or independent official corroboration; need direct recipient evidence for Brik’s Aug 2023 warning."
2026-09-18T06:19:00Z,2023-09,experts_research,In progress,"Reviewed HCJ 6820/23 readiness litigation. Primary court record establishes a serious readiness dispute and government acknowledgment that Netanyahu was continuously engaged with Gallant Halevi and Hanegbi; court also found the petition’s claimed emergency factual substrate weak. Held below acceptance due mixed professional/protest origin and unresolved underlying warning record.","Recover original pre-petition professional correspondence and isolate qualifying warning source/content from political-advocacy components."
2026-09-18T06:19:00Z,2023-10-01..2023-10-06,experts_research,In progress,"Targeted final-week expert/research sweep found no additional qualifying direct Lane-4 warning with defensible named-recipient delivery. Strict pre-Oct-7 warning cutoff preserved.","Continue later-released testimony/documents that may prove a pre-Oct-7 delivery event."
2026-09-18T06:19:00Z,pre-2022-12-29,older_inherited_warnings,In progress / one acceptance,"Accepted WARN-77: on 4 Oct 2018 serving IDF ombudsman Yitzhak Brik directly warned Netanyahu and Lieberman of severe war-readiness deficiencies and demanded an independent review; Netanyahu later met Brik and convened a readiness review. Contrary official assessments are preserved.","Do not assume 2018 deficiencies persisted unchanged to 2023. Continue older chains only where delivery/repetition/inherited knowledge by 2023 officeholders is demonstrable."
2026-09-18T06:19:00Z,2022-12-29..2023-10-06,experts_research_lane,In progress,"Lane 4 rotation completed with two accepted warnings: WARN-78 from former Shin Bet personnel in Jul 2023 and older-lane WARN-77 from Yitzhak Brik in Oct 2018. Multiple public expert warnings were retained as unresolved because direct named-recipient delivery was not proven. No month marked Complete.","Major gaps remain in direct-delivery records for INSS/JISS/IDSF warnings and primary corroboration of the Avi Gil Aug 21 briefing. Next rotating deep lane: Lane 5 — local authorities Gaza-border communities emergency/security coordinators civilian security professionals infrastructure/emergency bodies and civil-society professional organizations."
