run_utc,period,lane,status,progress,gaps
2026-09-17T18:18:00Z,2022-12-29..2022-12-31,experts_research,In progress,"Second targeted pass across expert/academic/security-policy channels found no distinct qualifying warning in this short period.","Smaller institutes, university correspondence, Hebrew-only archives and private briefing records remain unswept; do not mark Complete."
2026-09-17T18:18:00Z,2023-01,experts_research,In progress / high-value leads,"Rechecked IPS/INSS/expert material. No new event-specific recipient evidence recovered. CPR retrospective chronology continues to point to a January confrontation-year assessment but original document/distribution remain missing.","Need direct receipt for expert material and original CPR January paper/distribution."
2026-09-17T18:18:00Z,2023-02,experts_research,In progress,"Targeted expert/research searches found no new qualifying direct-recipient event beyond previously logged IPS/CPR strategic-deterioration leads.","Continue academic/expert correspondence and briefing-record recovery."
2026-09-17T18:18:00Z,2023-03,experts_research,In progress / strong candidates,"INSS Mar. 21 primary strategic alert reconfirmed: internal crisis magnified external threats and threatened IDF function, resilience and capacity against enemies. IPS March strategic-power warning also remains relevant.","Event-specific delivery/acknowledgment by a named qualifying decision-maker remains missing."
2026-09-17T18:18:00Z,2023-04,experts_research,In progress / strong candidates,"JISS Apr. 16 warning reconfirmed: wider/multi-front war was a tangible possibility and elected officials should ensure resources for preparations. Newly logged Yaakov Amidror Apr. 13 public professional warning that war with Iran was increasingly likely and Israel should prepare.","JISS and Amidror recovered evidence is public/media-facing; direct qualifying recipient evidence remains missing."
2026-09-17T18:18:00Z,2023-05,experts_research,In progress,"Reichman official archive confirms its May Herzliya Conference framed a multidimensional strategic alert and hosted senior serving decision-makers including Gallant, Halevi, Hanegbi and MOD leadership. This demonstrates access/proximity only.","Recover exact expert-origin warning presentations delivered in sessions attended by named officials; do not infer receipt from conference participation."
2026-09-17T18:18:00Z,2023-06,experts_research,In progress,"Targeted June expert/academic/professional searches did not produce a new distinct warning crossing the evidence threshold.","Continue smaller-institute and private briefing/correspondence recovery; no month Complete."
2026-09-17T18:18:00Z,2023-07,experts_research,In progress / strong candidates,"INSS Jul. 23 urgent alert reconfirmed as a strong readiness/deterrence warning. Direct letter from roughly 800 former Shin Bet personnel to Netanyahu/Gallant was rechecked; retrieved wording remains only indirectly tied to Oct. 7 operational preparedness.","Need receipt evidence for INSS; need original full former-Shin Bet letter or stronger readiness/attack-risk language before acceptance."
2026-09-17T18:18:00Z,2023-08,experts_research,In progress / documentary upgrade,"WARN-6 (Giora Eiland → Netanyahu, Aug. 16) strengthened: N12's Civil Commission report says Eiland wrote an alarmed contemporaneous pre-meeting message warning of existential danger immediately after the MI briefing and sought the Netanyahu meeting for the next day. Notion evidence timing upgraded to Both; confidence stays Medium. AMAN alumni letter remains unresolved.","Original Eiland pre-meeting post and meeting minutes remain unrecovered; original AMAN alumni Aug. 19 letter still needed."
2026-09-17T18:18:00Z,2023-09,experts_research,In progress / high-value documentary lead,"No new expert-origin event crossed threshold. Detailed IICC retrospective CPR account continues to identify 2023 warnings, including Sep. 19 Gaza-border escalation concerns, and says material went to relevant political/intelligence bodies.","Original CPR papers/distribution lists or independent official acknowledgment required; dedupe against accepted September warning chains."
2026-09-17T18:18:00Z,2023-10-01..2023-10-06,experts_research,In progress,"Targeted expert/research searches found no new defensible warning with documented qualifying senior receipt in Oct. 1-6.","Continue later-released testimony/document recovery and obscure Hebrew academic/professional sources."
2026-09-17T18:18:00Z,pre-2022-12-29,older_inherited_warnings,In progress,"No new older expert-origin warning accepted this run. CPR retrospective account says its warning chain began before 2023, but original event records were not recovered.","Continue original-document and inherited-knowledge recovery; no historical floor imposed."
2026-09-17T18:18:00Z,2022-12-29..2023-10-06,experts_research_lane,In progress,"Lane 4 deep-discovery pass completed month-by-month. No new warning met publication threshold; WARN-6 was materially strengthened and one new receipt-unresolved Amidror lead was added. INSS, JISS, IPS, former-Shin-Bet, AMAN-alumni and CPR chains remain unresolved under strict recipient/evidence rules. No month marked Complete.","Main gaps: event-specific receipt for public institute alerts; original CPR papers/distribution; original AMAN alumni letter; private academic/expert briefings. Next rotating deep lane: Lane 5 — local authorities, Gaza-border communities, emergency/security coordinators and civil professional organizations."
