run_utc,period,lane,status,notes
2026-09-19T12:10:30Z,2022-12-29..2022-12-31,experts_research,In progress,"Targeted expert/academic/think-tank sweep found no new distinct qualifying warning in the short late-December period; archival and institutional records remain open."
2026-09-19T12:10:30Z,2023-01,experts_research,In progress,"New Accepted WARN-116: on Jan. 23 INSS personally presented President Isaac Herzog with Strategic Assessment for Israel 2023, identifying the Palestinian arena as the immediate ignition danger and warning of possible armed-intifada escalation amid weakening PA control, Hamas strengthening, internal-security deterioration and readiness concerns. Direct documented senior-state receipt; not a specific Hamas/Gaza attack warning. Jan. 9 INSS Temple Mount war-game material was reviewed but did not establish a distinct named-recipient warning."
2026-09-19T12:10:30Z,2023-02,experts_research,In progress,"Targeted expert/research sweep found no new distinct recipient-qualified warning in this pass; existing related entries were audited for duplicates."
2026-09-19T12:10:30Z,2023-03,experts_research,In progress,"INSS Mar. 21 first-ever strategic alert and Amos Yadlin Mar. 23 warning content were corroborated with contemporaneous primary/reporting evidence, but direct delivery to a qualifying government or senior state/security recipient remains unproved. No promotion."
2026-09-19T12:10:30Z,2023-04,experts_research,In progress,"JISS Apr. 16 multi-front-war warning and Yaakov Amidror Apr. 13 war-risk warning were confirmed with contemporaneous evidence. No named direct government/security recipient established, so both remain Investigating."
2026-09-19T12:10:30Z,2023-05,experts_research,In progress,"Targeted professional/expert sweep found no new distinct warning with sufficiently documented qualifying receipt in this pass."
2026-09-19T12:10:30Z,2023-06,experts_research,In progress,"Targeted professional/expert sweep found no new distinct warning with sufficiently documented qualifying receipt in this pass."
2026-09-19T12:10:30Z,2023-07,experts_research,In progress,"INSS Jul. 23 urgent readiness alert was confirmed from the primary contemporaneous policy paper: the people's-army model was at risk of dissolution, military strength could weaken and the regional deterrence equation could be harmed amid multi-front threats. No named direct recipient established; remains Investigating."
2026-09-19T12:10:30Z,2023-08,experts_research,In progress,"Yigal Carmon's Aug. 31 article 'Signs of Possible War in September-October' was strongly corroborated as a contemporaneous broad regional-war warning; later clarification indicates it was not a specific prediction of a surprise Hamas assault. No qualifying recipient/delivery evidence found. Giora Eiland Aug. 16 is already Accepted and was deduped rather than republished."
2026-09-19T12:10:30Z,2023-09,experts_research,In progress,"Targeted expert/research sweep, including public strategic commentary by former senior intelligence professionals, found no additional distinct warning with documented qualifying receipt. Public commentary alone was not treated as delivery."
2026-09-19T12:10:30Z,2023-10-01..2023-10-06,experts_research,In progress,"Targeted expert/research sweep found no new distinct pre-Oct. 7 warning with sufficiently documented source-to-recipient delivery in this interval."
2026-09-19T12:10:30Z,pre-2022-12-29,older_inherited_warnings,In progress,"Older professional/research chains were followed where they could establish inherited or repeated knowledge. Reichman/ICT multi-front-war preparedness research had already been published as an existing accepted entry and was deduped; no new distinct older warning crossed threshold this run."
2026-09-19T12:10:30Z,all,experts_research,In progress,"Lane 4 completed for this rotation. One new Accepted warning (WARN-116); canonical accepted total is now 115. Strong-content but receipt-unresolved expert warnings remain Investigating: INSS Mar. 21, INSS Jul. 23, JISS Apr. 16, Carmon Aug. 31, Yadlin Mar. 23 and Amidror Apr. 13. No month marked Complete. Next deep lane: Lane 5 — local authorities, Gaza-border communities, emergency/security coordinators, civilian-security professionals, infrastructure/emergency bodies and civil-society professional organizations."
