run_utc,period,lane,status,notes
2026-09-19T21:16:30Z,2022-12-29..2022-12-31,1,In progress,"Targeted IDF/MI/Southern Command/Gaza Division sweep; no new distinct qualifying warning crossed threshold. Existing late-2022 military/intelligence chains were deduped."
2026-09-19T21:16:30Z,2023-01,1,In progress,"Military/intelligence warning material rechecked against accepted entries; no new distinct event or recipient upgrade."
2026-09-19T21:16:30Z,2023-02,1,In progress,"Targeted military discovery/reconciliation; no threshold-crossing new event."
2026-09-19T21:16:30Z,2023-03,1,In progress,"IDF readiness/deterrence warning cluster rechecked; existing accepted entries and MAR23 reconciliation candidate remain controlling."
2026-09-19T21:16:30Z,2023-04,1,In progress,"MI and Gaza/Southern Command warning chains reviewed; WARN-11 remains accepted but named political recipient/forum upgrade remains unresolved."
2026-09-19T21:16:30Z,2023-05,1,In progress,"Gaza/MI warning material searched and deduped; no new distinct qualifying event recovered."
2026-09-19T21:16:30Z,2023-06,1,In progress,"Surveillance/intelligence and readiness material rechecked; no new senior-recipient documentary threshold change."
2026-09-19T21:16:30Z,2023-07,1,In progress,"Gaza Division/MI warning chains and later inquiry material checked against existing accepted events; no duplicate created."
2026-09-19T21:16:30Z,2023-08,1,In progress,"New retrospective candidate HAIM-COHEN-AUG23-OPENING-STRIKE logged. Cohen says he recommended an opening strike when the sector was 'boiling'; Finkelman-side denial and absence of contemporaneous corroboration keep it Investigating."
2026-09-19T21:16:30Z,2023-09,1,In progress,"Jericho Wall, surveillance-unit and Gaza Division warning material rechecked; no new distinct senior-recipient event crossed threshold."
2026-09-19T21:16:30Z,2023-10-01..2023-10-06,1,In progress,"WARN-122 accepted: Oct. 4 Northern Brigade warning/refusal against extending the Re'im/Nova mass event into Saturday, supported by later-released contemporaneous police protocols and the later IDF Nova inquiry. OCT3 observer/drill candidate still lacks named qualifying senior receipt."
2026-09-19T21:16:30Z,OLDER,1,In progress,"Binder/Division 91 surprise-defense warning re-audited using IDF/Dado Center professional synthesis; exact date/recipient/contemporaneous record remain missing. Existing older military warning chains deduped."
2026-09-19T21:16:30Z,ALL,1,In progress,"Lane 1 completed for this rotation. 1 new Accepted warning (WARN-122); accepted total 121. No month marked Complete. Next deep lane: 2 — Shin Bet / Mossad / NSC / police / Home Front / other Israeli professional security bodies."
