period,military_intelligence,other_israeli_security,foreign_government_intelligence,experts_research,local_emergency_civil,primary_document_recovery,older_inherited_warnings,notes
2022-12-29..2022-12-31,,,,,,In progress,,"Lane 6 documentary sweep found no new qualifying distinct event for this short period; primary-record recovery remains incomplete."
2023-01,,,,,,In progress,,"CPR January confrontation-year warning candidate materially strengthened by retrospective professional-source provenance and reported broad dissemination; underlying contemporaneous paper/distribution remains missing."
2023-02,,,,,,In progress,,"No new Lane 6 acceptance. Documentary recovery of security-body and local/emergency correspondence remains incomplete."
2023-03,,,,,,In progress,,"CPR Hamas-not-deterred candidate strengthened but original assessment/distribution still unrecovered; no acceptance change."
2023-04,,,,,,In progress,,"Passover early-warning claim reclassified as disputed after later IDF-inquiry reporting said intelligence failed to correctly interpret Hamas activation intent and the cancellation reason was unknown."
2023-05,,,,,,In progress,,"No additional Lane 6 acceptance; existing May 2022/2023 Jericho and local-warning records retained."
2023-06,,,,,,In progress,,"No new distinct documentary-recovery event crossed the threshold."
2023-07,,,,,,In progress,,"WARN-20 strengthened with recovery of the 25 Jul 2022 Gaza Division raid-threat document as a precursor to the 27 Jul Finkelman preparedness meeting; treated as one warning chain, not a duplicate."
2023-08,,,,,,In progress,,"NCO V late-warning/sword evidence strengthened but exact date/event identity remains unresolved against WARN-22/WARN-27; no duplicate created."
2023-09,,,,,,In progress,,"19 Sep CPR Gaza-border candidate strengthened; NCO V late-warning chain further clarified. Original CPR document/distribution and distinct sword-email dating remain unresolved."
2023-10-01..2023-10-06,,,,,,In progress,,"No new accepted warning. Observer/last-days warning chains still require dated transmissions and recipient evidence."
pre-2022-12-29,,,,,,In progress,In progress,"Added older 2021 reserve-brigadier-general lead warning to prepare for an above-ground Gaza attack; identity, exact date, document, recipients and 2023 carry-forward remain unresolved. Also surfaced a possible late-Apr 2022 NCO V precursor to WARN-25."
