period,lane,status,result
2022-12-29..2022-12-31,3 foreign government/intelligence,In progress,"Targeted foreign-government/diplomatic warning search; no new distinct recipient-documented event in the government's first three days."
2023-01,3 foreign government/intelligence,In progress,"Rechecked Sisi/Jordan/U.S./EU/French warning chain already represented by WARN-39, WARN-110, WARN-52/53/54, WARN-40/41, WARN-71 and WARN-50; no new distinct event."
2023-02,3 foreign government/intelligence,In progress,"Rechecked direct foreign warnings plus Aqaba de-escalation process; existing qualifying events already canonical. Aqaba joint communiqué retained as multilateral context rather than a separate one-way warning."
2023-03,3 foreign government/intelligence,In progress,"Rechecked U.S., Jordanian, UAE, UK, German and French warning chains already canonical. WARN-115 UK joint de-escalation item remains Investigating; no new qualifying recipient-documented event."
2023-04,3 foreign government/intelligence,In progress,"Accepted WARN-134: Jordan MFA's 9 Apr escalation warning, with receipt directly established by Israel MFA's contemporaneous response. Earlier same-week Jordan/Egypt/Türkiye warnings were reviewed for dedupe and recipient evidence; no additional distinct accepted event."
2023-05,3 foreign government/intelligence,In progress,"Rechecked Borrell, Austin and Sullivan Gaza de-escalation warnings already canonical as WARN-57, WARN-96 and WARN-127; no new distinct event."
2023-06,3 foreign government/intelligence,In progress,"Rechecked U.S./regional warnings around West Bank escalation; WARN-58 remains canonical. No new distinct recipient-documented foreign event."
2023-07,3 foreign government/intelligence,In progress,"Rechecked WARN-59/60 and regional holy-site warnings. Added JORDAN-JUL27-2023-AL-AQSA as Investigating: official warning is clear but named/direct Israeli receipt remains unproven."
2023-08,3 foreign government/intelligence,In progress,"Rechecked U.S. and regional warning chain; WARN-83 already canonical. No new distinct recipient-documented event."
2023-09,3 foreign government/intelligence,In progress,"Rechecked WARN-8, WARN-75, WARN-61, WARN-76 and disputed WARN-5. WARN-76 chronology was updated because Sep. 2026 Ynet now describes Kamel contacting Netanyahu's office about three days before Oct. 7, increasing uncertainty over the earlier ten-day/direct-recipient account."
2023-10-01..2023-10-06,3 foreign government/intelligence,In progress,"Rechecked WARN-112 and Egyptian ~4 Oct warning. EGYPT-OCT4 remains unresolved: McCaul supports that a warning existed but recipient level was unknown; a senior U.S. briefing participant said McCaul exaggerated and characterized it as low-grade/non-concrete. No duplicate created."
pre-2022-12-29,3 foreign government/intelligence / older,In progress,"Rechecked older Egyptian/Qatar-Hamas financing and inherited foreign-warning chains including WARN-124. No additional older warning with documented inheritance, repetition or redelivery to a serving 2023 officeholder crossed threshold."
