period,military_intelligence,other_israeli_security,foreign_government_intelligence,experts_research,local_emergency_civil,primary_document_recovery,older_inherited_warnings,notes
2022-12-29..2022-12-31,,,In progress,,,,,"Targeted foreign-government/intelligence search found no new distinct qualifying warning event in this short interval; not sufficient for Complete/No results."
2023-01,,,In progress,,,,,"WARN-39 accepted: Sisi directly cautioned Netanyahu on 1 Jan against measures that could escalate tensions. WARN-40 accepted: King Abdullah directly stressed calm/cessation of violence on 24 Jan. WARN-41 accepted: CIA Director Burns warned Netanyahu/Israeli security officials during his late-Jan visit of possible third-intifada-scale violence; exact private wording is reported, so Medium confidence."
2023-02,,,In progress,,,,,"Burns's public post-visit remarks on 7 Feb strengthen WARN-41. Aqaba 26 Feb was a joint Israeli-PA-Jordan-Egypt-US de-escalation agreement rather than a distinct warning given to Israel; no additional accepted event in this pass."
2023-03,,,In progress,,,,,"Sharm el-Sheikh 19 Mar joint communique documented shared need to de-escalate and prevent further violence but is treated as a multilateral agreement/context, not a distinct warning transmission. No new accepted event."
2023-04,,,In progress,,,,,"Targeted foreign-government/diplomatic search found no new distinct qualifying direct warning crossing threshold in this pass; not Complete."
2023-05,,,In progress,,,,,"Foreign condemnations/de-escalation messages around Jerusalem/Al-Aqsa were found, but no new distinct warning with sufficiently documented qualifying receipt was accepted. Not Complete."
2023-06,,,In progress,,,,,"Targeted Lane 3 search found no new distinct accepted foreign warning in this pass; not Complete."
2023-07,,,In progress,,,,,"Targeted Lane 3 search found no new distinct accepted foreign warning in this pass; not Complete."
2023-08,,,In progress,,,,,"Targeted Lane 3 search found no new distinct accepted foreign warning in this pass; not Complete."
2023-09,,,In progress,,,In progress,,"WARN-5 strengthened but unchanged: separate Emirati-source confirmation reported; UAE official statement neither confirms nor denies specific call; PMO continues categorical denial and cites call-log checks. WARN-8 remains accepted/Medium with Army Radio report that Shin Bet presented Netanyahu the Egyptian 'ground in Gaza tremble' warning. Sep 15 Sinwar intermediary/UAE-linked backchannel is a strong unresolved distinct-event candidate pending provenance/dedupe versus WARN-8 and WARN-15. Kamel direct-warning claim remains disputed."
2023-10-01..2023-10-06,,,In progress,,,In progress,,"Egypt Oct. 4 route remains strong unresolved: House Foreign Affairs chair Michael McCaul said after a classified briefing that Egypt warned Israelis three days before Oct. 7, but explicitly said recipient level was unclear. Israeli/NSC denials and lack of primary recipient record preserved."
pre-2022-12-29,,,In progress,,,,In progress,"No new older foreign-government warning accepted in this run. Existing older-warning lane remains open for inherited/repeated foreign assessments without a historical floor."
