run_utc,period,lane,status,progress,gaps
2026-09-17T12:13:32Z,2022-12-29..2022-12-31,experts_research,In progress,"Targeted first-pass searches of major Israeli security-policy institutes and professional expert channels found no distinct qualifying warning in this short period.","Smaller institutes, academic correspondence, Hebrew-only archives and direct briefing records remain unswept; do not mark Complete."
2026-09-17T12:13:32Z,2023-01,experts_research,In progress / high-value leads,"Reichman IPS published a Jan. 26 assessment describing multidimensional combined threats, severe Palestinian escalation possibilities and Iran-related strategic risk. A retrospective former-Foreign-Ministry-CPR account also points to January papers warning that Hamas might view 2023 as a confrontation year.","Need direct receipt for IPS material; recover original CPR January paper and distribution list."
2026-09-17T12:13:32Z,2023-02,experts_research,In progress,"Reichman IPS warned in early February that internal chaos could damage national security, strategic power and foreign relationships. Retrospective CPR account also points to a February destabilization assessment.","Need named-recipient delivery/acknowledgment and original CPR document. Continue academic/expert-body search."
2026-09-17T12:13:32Z,2023-03,experts_research,In progress / strong candidates,"INSS issued its Mar. 21 strategic alert warning that internal conflict magnified external threats and could damage IDF functioning, resilience and capacity against enemies. IPS separately warned the domestic crisis jeopardized strategic power. A retrospective CPR account says a March assessment argued Hamas was not deterred and Gaza escalation could follow West Bank escalation.","No event yet has sufficient event-specific recipient proof for publication. Recover INSS/IPS delivery records and the original CPR assessment/distribution."
2026-09-17T12:13:32Z,2023-04,experts_research,In progress / strong candidate,"JISS warned Israel should prepare for war, describing the environment as the most dangerous in decades and a wider multi-front war as a tangible possibility; it urged elected officials to resource preparations.","Need evidence of delivery or acknowledgment by a qualifying senior decision-maker. Continue other April expert/research searches."
2026-09-17T12:13:32Z,2023-05,experts_research,In progress,"Reichman IPS framed the Herzliya Conference around a multidimensional strategic alert; senior serving officials including Gallant, Halevi, Gamliel, Hanegbi and MOD DG Eyal Zamir participated. This establishes proximity/access but not receipt of a distinct expert-origin warning event.","Recover exact IPS briefings/papers presented to named officials and separate expert-origin warnings from officials' own speeches."
2026-09-17T12:13:32Z,2023-06,experts_research,In progress,"No new distinct Lane-4 warning crossed the evidence threshold in targeted June searches.","Continue think-tank, academic, former-professional and direct-correspondence recovery; no month Complete."
2026-09-17T12:13:32Z,2023-07,experts_research,In progress / strong candidates,"INSS issued a Jul. 23 urgent readiness alert warning of weakening military capability/deterrence and risks to critical air, intelligence and special-operations systems. About 800 former Shin Bet personnel separately sent Netanyahu and Gallant a direct security-danger letter; its retrieved warning content has only an indirect Oct. 7 preparedness nexus.","Need recipient evidence for the INSS alert and stronger original-letter scope language for the former-Shin Bet warning."
2026-09-17T12:13:32Z,2023-08,experts_research,In progress / documentary lead,"Secondary reporting points to an Aug. 19 alarm letter from former AMAN special-operations personnel to Netanyahu/Gallant warning of war/national-security danger. A retrospective CPR account identifies an Aug. 27 assessment on discussion of full-scale war with the resistance axis.","Recover original AMAN alumni letter and high-quality source; recover original CPR Aug. 27 assessment and distribution."
2026-09-17T12:13:32Z,2023-09,experts_research,In progress / high-value documentary lead,"No expert-origin event crossed publication threshold. Retrospective former-CPR-head account says the Foreign Ministry research center warned on Sep. 19 about intensifying Gaza-border disturbances and Hamas dissatisfaction with the existing equation.","Original Sep. 19 CPR paper, distribution list and independent/official corroboration are required; check overlap with already accepted September escalation warnings."
2026-09-17T12:13:32Z,2023-10-01..2023-10-06,experts_research,In progress,"Targeted Lane-4 first pass found no new defensible expert/research warning with qualifying senior receipt in Oct. 1-6.","Continue Hebrew academic/professional archives and later-released evidence. No month Complete."
2026-09-17T12:13:32Z,pre-2022-12-29,older_inherited_warnings,In progress,"No new older warning was accepted in this run. Existing WARN-31/WARN-32 remain published; the newly surfaced CPR retrospective account says the institutional warning chain began before and continued through 2023, but original records were not recovered.","Continue original-document recovery; do not convert retrospective institutional claims into accepted events without contemporaneous records or independent corroboration."
2026-09-17T12:13:32Z,2022-12-29..2023-10-06,experts_research_lane,In progress,"Lane 4 deep-discovery run completed month-by-month. No new warning met publication threshold. Strong candidate chains were added for INSS Mar. 21 and Jul. 23, JISS Apr. 16/17, Reichman IPS, former Shin Bet professionals and Foreign Ministry CPR documentary recovery. No month marked Complete.","Major gaps: direct recipient evidence for public institute alerts; original CPR Jan/Mar/Aug/Sep papers and distribution lists; original AMAN alumni letter; smaller/academic/local expert channels. Next rotating deep lane: Lane 5 — local authorities, Gaza-border communities, emergency/security coordinators and civil professional organizations."
